team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Bayern Munich,117,2017,Bundesliga,,,,,,,,,,,,,
Hamburger SV,118,2017,Bundesliga,,,,,,,,,,,,,
Bayer Leverkusen,119,2017,Bundesliga,,,,,,,,,,,,,
Hoffenheim,120,2017,Bundesliga,,,,,,,,,,,,,
Augsburg,121,2017,Bundesliga,,,,,,,,,,,,,
Hertha Berlin,122,2017,Bundesliga,,,,,,,,,,,,,
Werder Bremen,123,2017,Bundesliga,,,,,,,,,,,,,
Schalke 04,124,2017,Bundesliga,,,,,,,,,,,,,
Mainz 05,125,2017,Bundesliga,,,,,,,,,,,,,
Hannover 96,128,2017,Bundesliga,,,,,,,,,,,,,
Borussia Dortmund,129,2017,Bundesliga,,,,,,,,,,,,,
Borussia M.Gladbach,130,2017,Bundesliga,,,,,,,,,,,,,
Wolfsburg,131,2017,Bundesliga,,,,,,,,,,,,,
Eintracht Frankfurt,132,2017,Bundesliga,,,,,,,,,,,,,
VfB Stuttgart,133,2017,Bundesliga,,,,,,,,,,,,,
FC Cologne,134,2017,Bundesliga,,,,,,,,,,,,,
Freiburg,135,2017,Bundesliga,,,,,,,,,,,,,
RasenBallsport Leipzig,136,2017,Bundesliga,,,,,,,,,,,,,
