Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS,season,league
Bayern Munich,33,27,5,1,117,35,86,101.99,92.9,43.77,41.5,51.4,9.11,21.09,455,159,74.87,2025,Bundesliga
Borussia Dortmund,33,21,7,5,68,34,70,64.43,57.61,42.24,38.46,19.15,11.7,13.56,333,173,59.04,2025,Bundesliga
RasenBallsport Leipzig,33,20,5,8,65,43,65,73.67,71.4,50.94,48.67,22.73,13.12,13.17,324,227,60.65,2025,Bundesliga
VfB Stuttgart,33,18,7,8,69,47,61,66.52,61.21,50.46,44.39,16.82,10.21,14.56,288,211,57.08,2025,Bundesliga
Hoffenheim,33,18,7,8,65,48,61,61.37,56.83,53.24,47.94,8.89,8.2,15.65,291,174,52.26,2025,Bundesliga
Bayer Leverkusen,33,17,7,9,67,46,58,72.16,66.86,49.33,44.03,22.83,12.83,16.5,272,237,58.81,2025,Bundesliga
Freiburg,33,12,8,13,47,56,44,47.59,43.04,52.05,51.29,-8.25,12.63,11.42,173,244,43.07,2025,Bundesliga
Eintracht Frankfurt,33,11,10,12,59,63,43,48.02,44.99,53.74,51.47,-6.48,10.94,14.84,223,208,42.98,2025,Bundesliga
Augsburg,33,12,7,14,45,57,43,50.76,46.21,63.08,57.62,-11.41,15.3,9.18,172,318,39.25,2025,Bundesliga
Mainz 05,33,9,10,14,42,53,37,59.36,52.54,58.83,57.32,-4.78,13.54,10.56,240,248,48.43,2025,Bundesliga
Hamburger SV,33,9,10,14,39,53,37,42.2,37.58,62.98,55.4,-17.82,14.4,10.41,179,257,34.6,2025,Bundesliga
Union Berlin,33,9,9,15,40,58,36,45.96,42.17,55.56,51.01,-8.83,15.31,10.39,164,230,43.34,2025,Bundesliga
Borussia M.Gladbach,33,8,11,14,38,53,35,45.84,40.54,54.84,51.05,-10.51,15.2,11.84,227,280,39.91,2025,Bundesliga
FC Cologne,33,7,11,15,48,58,32,52.95,50.68,59.03,53.73,-3.05,15.47,13.85,205,226,40.82,2025,Bundesliga
Werder Bremen,33,8,8,17,37,58,32,41.82,38.78,58.49,53.94,-15.15,12.69,13.1,249,256,37.65,2025,Bundesliga
Wolfsburg,33,6,8,19,42,68,26,48.52,45.41,63.14,52.46,-7.05,13.04,13.06,168,296,38.14,2025,Bundesliga
FC Heidenheim,33,6,8,19,41,70,26,46.93,45.41,67.68,63.13,-17.72,16.31,11.01,182,329,33.93,2025,Bundesliga
St. Pauli,33,6,8,19,28,57,26,32.04,28.1,62.74,58.88,-30.78,19.03,13.02,165,237,25.99,2025,Bundesliga
