Team,League (2025-26),xG vs Avg,xGC vs Avg,Off Score,Def Score,Fin Score,Final Rating
Arsenal,Premier League,1.68,0.79,64.46,71.22,100.0,124.98
Manchester City,Premier League,1.85,1.01,71.55,62.95,99.63,124.04
Liverpool,Premier League,1.76,1.13,67.61,56.49,99.18,116.62
Manchester United,Premier League,1.48,1.27,64.8,49.73,97.23,109.34
Brighton,Premier League,1.38,1.19,59.97,53.19,94.9,107.68
Newcastle,Premier League,1.44,1.27,62.6,49.5,96.62,107.46
Chelsea,Premier League,1.58,1.26,60.83,50.04,99.0,107.3
Bournemouth,Premier League,1.46,1.32,63.81,47.35,94.07,106.03
Brentford,Premier League,1.37,1.27,60.32,49.75,94.11,105.28
Crystal Palace,Premier League,1.24,1.18,54.22,53.63,94.58,103.87
Leeds,Premier League,1.31,1.25,57.43,50.35,92.73,103.26
Aston Villa,Premier League,1.33,1.32,58.16,47.25,95.72,102.5
Nottingham Forest,Premier League,1.16,1.27,50.39,49.53,96.01,98.75
Tottenham,Premier League,1.28,1.46,56.08,42.09,98.08,98.15
Everton,Premier League,1.16,1.3,50.46,48.31,93.8,97.28
Fulham,Premier League,1.19,1.33,51.81,46.88,93.37,97.1
West Ham,Premier League,1.16,1.48,50.45,41.47,93.84,92.5
Sunderland,Premier League,0.97,1.28,40.7,49.22,92.63,90.73
Wolves,Premier League,0.91,1.5,37.69,40.47,93.23,82.68
Burnley,Premier League,0.91,1.71,37.54,34.67,91.4,77.97
Middlesbrough,Championship,1.42,0.96,18.69,19.99,87.13,34.91
Coventry,Championship,1.65,1.06,18.99,17.98,86.83,33.7
Sheffield Utd,Championship,1.39,1.1,18.26,17.33,88.48,32.88
West Brom,Championship,1.19,1.08,15.58,17.7,85.86,31.02
Birmingham,Championship,1.19,1.12,15.65,17.07,87.1,30.74
Millwall,Championship,1.23,1.15,16.23,16.58,83.34,30.47
Derby,Championship,1.11,1.12,14.39,17.06,83.55,29.54
Norwich,Championship,1.27,1.32,16.65,14.14,87.13,29.4
Blackburn,Championship,1.1,1.14,14.2,16.69,81.91,28.99
Bristol City,Championship,1.18,1.26,15.49,14.98,84.92,28.98
Leicester City,Championship,1.21,1.35,15.92,13.8,89.7,28.88
Swansea,Championship,1.09,1.21,14.12,15.82,85.17,28.62
Ipswich Town,Championship,1.22,1.39,15.98,13.28,90.24,28.6
Wrexham,Championship,1.23,1.31,15.92,14.08,84.32,28.59
QPR,Championship,1.1,1.22,14.3,15.64,82.52,28.38
Watford,Championship,1.12,1.26,14.52,15.07,84.13,28.28
Hull,Championship,1.19,1.39,15.69,13.35,84.3,27.92
Stoke,Championship,1.08,1.29,13.88,14.6,84.24,27.52
Portsmouth,Championship,1.06,1.26,13.71,15.12,81.1,27.48
Preston,Championship,1.07,1.3,13.82,14.5,82.08,27.21
Southampton,Championship,1.19,1.59,15.46,11.29,90.06,26.83
Oxford,Championship,1.01,1.28,12.83,14.81,81.21,26.66
Charlton Ath,Championship,0.97,1.25,11.97,14.97,76.36,25.73
Sheffield Wednesday,Championship,0.91,1.7,11.26,10.5,76.87,22.14
