Pos,ID,Name,BV,SV,Team,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
G,1,Raya,6.0,5.7,Arsenal,92,3.86,91,4.20,0,0.00,91,4.00,89,5.96,87,1.03,85,3.85,83,5.22,83,2.38,83,3.58,0.68
G,2,Arrizabalaga,4.1,4.1,Arsenal,3,0.13,4,0.21,0,0.00,4,0.18,6,0.42,8,0.10,10,0.48,12,0.73,12,0.34,12,0.50,0.00
G,3,Hein,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,4,Setford,3.9,3.9,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,5,Gabriel,7.1,7.0,Arsenal,93,4.79,89,5.25,0,0.00,85,4.73,84,6.64,81,1.20,79,4.59,78,6.24,78,3.00,78,4.18,0.97
D,6,Saliba,6.1,6.1,Arsenal,90,4.01,87,4.56,0,0.00,83,4.01,83,5.69,80,1.03,77,3.94,76,5.24,74,2.47,73,3.46,0.01
D,7,Calafiori,5.6,5.6,Arsenal,34,1.71,48,3.05,0,0.00,53,3.22,51,4.26,50,0.79,55,3.44,54,4.63,55,2.28,53,2.99,0.00
D,8,J.Timber,6.3,6.3,Arsenal,85,4.28,77,4.66,0,0.00,81,4.64,78,5.99,75,1.12,72,4.29,72,5.73,73,2.95,71,3.71,0.51
D,9,Kiwior,5.4,5.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,10,Lewis-Skelly,5.1,5.1,Arsenal,11,0.44,12,0.56,0,0.00,11,0.48,12,0.83,15,0.19,15,0.72,17,1.11,18,0.58,16,0.71,0.00
D,11,White,5.1,5.1,Arsenal,7,0.32,17,0.89,0,0.00,13,0.63,17,1.21,19,0.25,22,1.13,21,1.54,20,0.69,25,1.18,0.00
D,12,Zinchenko,4.9,4.9,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,13,Clarke,3.8,3.8,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
