Pos,ID,Name,BV,SV,Team,32_xMins,33_xMins,34_xMins,35_xMins,36_xMins,37_xMins,38_xMins,32_eo,33_eo,34_eo,35_eo,36_eo,37_eo,38_eo
M,54,McGinn,5.3,5.3,Aston Villa,75.45,75.45,75.45,75.45,75.45,75.45,75.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,55,Barkley,4.8,4.8,Aston Villa,38.70,18.75,18.75,18.75,18.75,18.75,18.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,58,Kamara,4.9,4.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,59,Onana,4.8,4.8,Aston Villa,56.85,56.85,56.85,56.85,56.85,56.85,56.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,64,Watkins,8.5,8.5,Aston Villa,74.70,74.70,74.70,74.70,74.70,74.70,74.70,0.01,0.01,0.02,0.02,0.00,0.01,0.00
G,67,Petrović,4.6,4.6,Bournemouth,89.10,178.20,0.00,89.10,89.10,89.10,89.10,0.01,0.00,0.00,0.00,0.01,0.00,0.00
G,69,McKenna,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,72,Senesi,5.1,5.1,Bournemouth,87.45,174.90,0.00,87.45,87.45,87.45,87.45,0.14,0.21,0.00,0.28,0.22,0.10,0.30
D,73,Smith,4.4,4.4,Bournemouth,22.20,44.40,0.00,22.20,22.20,22.20,22.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,74,Truffert,4.7,4.7,Bournemouth,87.45,174.90,0.00,87.45,87.45,87.45,87.45,0.00,0.00,0.00,0.02,0.02,0.01,0.01
D,75,Akinmboni,3.8,3.8,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,76,Bevan,3.8,3.8,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,77,Hill,4.2,4.2,Bournemouth,87.45,173.40,0.00,87.45,87.45,87.45,87.45,0.01,0.15,0.00,0.29,0.26,0.00,0.31
D,80,Soler,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,81,Kluivert,6.9,6.9,Bournemouth,0.00,46.20,0.00,39.90,39.90,39.90,39.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,82,Semenyo,8.2,8.2,Man City,77.10,153.45,0.00,77.10,158.70,77.10,77.10,0.26,0.29,0.00,0.28,0.36,0.26,0.04
M,83,O.Dango,6.0,6.0,Brentford,75.45,75.45,75.45,75.45,75.45,75.45,75.45,0.34,0.34,0.29,0.38,0.18,0.39,0.00
M,84,Tavernier,5.4,5.4,Bournemouth,80.40,160.80,0.00,80.40,80.40,80.40,80.40,0.00,0.13,0.00,0.16,0.08,0.10,0.10
M,85,Adams,4.9,4.9,Bournemouth,67.20,138.00,0.00,67.20,67.20,67.20,67.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,86,Brooks,5.0,5.0,Bournemouth,24.60,49.20,0.00,21.45,21.45,21.45,21.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,87,Christie,4.9,4.9,Bournemouth,24.75,49.50,0.00,24.75,24.75,24.75,24.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,88,Cook,4.9,4.9,Bournemouth,9.90,19.80,0.00,9.90,9.90,9.90,9.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,90,Scott,5.0,5.0,Bournemouth,83.25,166.50,0.00,83.25,83.25,83.25,83.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,97,Evanilson,6.8,6.8,Bournemouth,70.65,141.30,0.00,70.65,70.65,70.65,70.65,0.00,0.00,0.00,0.00,0.02,0.01,0.00
F,98,Enes Ünal,5.4,5.4,Bournemouth,12.00,24.00,0.00,12.00,12.00,12.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,100,Kroupi.Jr,4.7,4.7,Bournemouth,49.35,85.80,0.00,36.45,36.45,36.45,36.45,0.01,0.01,0.00,0.00,0.01,0.00,0.00
G,101,Kelleher,4.8,4.8,Brentford,89.10,89.10,89.10,89.10,89.10,89.10,89.10,0.14,0.09,0.08,0.13,0.07,0.13,0.08
G,102,Balcombe,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,104,Eyestone,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,105,Valdimarsson,3.8,3.8,Brentford,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,106,Collins,4.9,4.9,Brentford,72.90,72.90,72.90,72.90,72.90,72.90,72.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,107,Lewis-Potter,4.8,4.8,Brentford,66.15,66.15,66.15,66.15,66.15,66.15,66.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,108,Ajer,4.4,4.4,Brentford,46.95,46.95,46.95,46.95,46.95,46.95,46.95,0.00,0.00,0.00,0.00,0.00,0.01,0.00
D,109,Henry,4.3,4.3,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,110,Kayode,4.5,4.5,Brentford,85.35,85.35,85.35,85.35,85.35,85.35,85.35,0.00,0.00,0.00,0.00,0.01,0.01,0.00
D,111,Pinnock,4.2,4.2,Brentford,9.45,9.45,9.45,9.45,9.45,9.45,9.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,113,Van den Berg,4.6,4.6,Brentford,80.70,80.70,80.70,80.70,80.70,80.70,80.70,0.01,0.00,0.00,0.00,0.01,0.01,0.00
D,116,Hickey,4.0,4.0,Brentford,31.50,31.50,31.50,31.50,31.50,31.50,31.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,119,Mbeumo,8.6,8.6,Man Utd,69.15,69.15,69.15,69.15,69.15,69.15,69.15,0.43,0.40,0.45,0.46,0.44,0.16,0.18
M,120,Schade,7.0,7.0,Brentford,78.45,78.45,78.45,78.45,78.45,78.45,78.45,0.02,0.02,0.01,0.01,0.02,0.04,0.01
M,121,Damsgaard,5.6,5.6,Brentford,63.45,63.45,63.45,63.45,63.45,63.45,63.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,122,Milambo,5.2,5.2,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,123,Carvalho,4.6,4.6,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,124,Henderson,5.0,5.0,Brentford,54.00,54.00,54.00,54.00,54.00,54.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,125,Janelt,4.9,4.9,Brentford,48.45,48.45,48.45,48.45,48.45,48.45,48.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,126,Jensen,4.9,4.9,Brentford,80.55,80.55,80.55,80.55,80.55,80.55,80.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,129,Yarmoliuk,5.0,5.0,Brentford,57.30,57.30,57.30,57.30,57.30,57.30,57.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,130,Donovan,4.4,4.4,Brentford,3.00,3.00,3.00,3.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,135,Wissa,7.3,7.3,Newcastle,15.75,15.75,15.75,15.75,15.75,15.75,15.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,136,Thiago,7.3,7.3,Brentford,84.15,84.15,84.15,84.15,84.15,84.15,84.15,0.80,0.73,0.83,0.92,0.44,0.79,0.75
G,138,Steele,4.2,4.2,Brighton,0.90,1.80,0.00,0.90,0.90,0.90,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,139,Verbruggen,4.5,4.5,Brighton,89.10,178.20,0.00,89.10,89.10,89.10,89.10,0.09,0.10,0.00,0.06,0.03,0.02,0.01
G,140,McGill,3.9,3.9,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,143,Boscagli,4.2,4.2,Brighton,84.75,169.50,0.00,10.05,10.05,10.05,10.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,145,De Cuyper,4.3,4.3,Brighton,15.75,31.50,0.00,15.75,15.75,15.75,15.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,146,Dunk,4.5,4.5,Brighton,0.00,0.00,0.00,85.05,85.05,85.05,85.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,148,F.Kadıoğlu,4.4,4.4,Brighton,85.35,170.70,0.00,85.35,85.35,85.35,85.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,149,Igor,4.5,4.5,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,151,Van Hecke,4.5,4.5,Brighton,87.45,174.90,0.00,87.45,87.45,87.45,87.45,0.04,0.02,0.00,0.01,0.00,0.02,0.02
D,152,Veltman,4.3,4.3,Brighton,25.65,51.30,0.00,16.65,16.65,16.65,16.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,153,Webster,4.4,4.4,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,156,Tasker,3.8,3.8,Brighton,0.30,0.60,0.00,0.30,0.30,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,157,Mitoma,6.1,6.1,Brighton,76.50,153.00,0.00,76.50,76.50,76.50,76.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
