Pos,ID,Name,BV,SV,Team,30_xMins,31_xMins,32_xMins,33_xMins,34_xMins,35_xMins,36_xMins,37_xMins,38_xMins,30_eo,31_eo,32_eo,33_eo,34_eo,35_eo,36_eo,37_eo,38_eo
G,1,Raya,6.0,6.0,Arsenal,89.10,0.00,89.10,178.20,0.00,89.10,89.10,89.10,89.10,0.54,0.00,0.55,0.55,0.00,0.55,0.55,0.55,0.55
G,2,Arrizabalaga,4.1,4.1,Arsenal,1.20,0.00,1.20,2.40,0.00,1.20,1.20,1.20,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,4,Setford,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,7.1,7.1,Arsenal,84.45,0.00,84.45,168.90,0.00,84.45,84.45,84.45,84.45,1.02,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00
D,6,Saliba,6.1,6.1,Arsenal,84.45,0.00,84.45,168.90,0.00,84.45,84.45,84.45,84.45,0.03,0.00,0.03,0.03,0.00,0.03,0.03,0.03,0.03
D,7,Calafiori,5.6,5.6,Arsenal,22.20,0.00,22.20,44.40,0.00,22.20,22.20,22.20,22.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,8,J.Timber,6.3,6.3,Arsenal,82.50,0.00,82.50,165.00,0.00,82.50,82.50,82.50,82.50,0.28,0.00,0.31,0.31,0.00,0.31,0.31,0.31,0.31
D,10,Lewis-Skelly,5.1,5.1,Arsenal,9.45,0.00,9.45,18.90,0.00,9.45,9.45,9.45,9.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,11,White,5.1,5.1,Arsenal,4.65,0.00,4.65,9.30,0.00,4.65,4.65,4.65,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,13,Clarke,3.8,3.8,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,3.7,3.7,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,9.8,9.8,Arsenal,77.10,0.00,77.10,154.20,0.00,77.10,77.10,77.10,77.10,0.01,0.00,0.02,0.02,0.00,0.02,0.02,0.02,0.02
M,17,Ødegaard,7.8,7.8,Arsenal,46.50,0.00,63.30,126.60,0.00,63.30,63.30,63.30,63.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,18,Madueke,6.8,6.8,Arsenal,26.40,0.00,26.40,52.80,0.00,26.40,26.40,26.40,26.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,19,Martinelli,6.8,6.8,Arsenal,19.20,0.00,19.20,38.40,0.00,19.20,19.20,19.20,19.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,20,Trossard,6.7,6.7,Arsenal,60.60,0.00,60.60,121.20,0.00,60.60,60.60,60.60,60.60,0.01,0.00,0.01,0.01,0.00,0.01,0.01,0.01,0.01
M,21,Rice,7.5,7.5,Arsenal,75.75,0.00,84.00,168.00,0.00,84.00,84.00,84.00,84.00,0.50,0.00,0.34,0.34,0.00,0.34,0.34,0.34,0.34
M,22,Merino,5.4,5.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,24,Nørgaard,5.1,5.1,Arsenal,11.10,0.00,4.65,9.30,0.00,4.65,4.65,4.65,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,26,Zubimendi,5.2,5.2,Arsenal,83.25,0.00,83.25,166.50,0.00,83.25,83.25,83.25,83.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,27,Nelson,4.8,4.8,Brentford,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,30,Havertz,7.3,7.3,Arsenal,32.70,0.00,32.70,65.40,0.00,32.70,32.70,32.70,32.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,31,G.Jesus,6.4,6.4,Arsenal,27.15,0.00,27.15,54.30,0.00,27.15,27.15,27.15,27.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,32,Martinez,5.1,5.1,Aston Villa,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,33,M.Bizot,4.2,4.2,Aston Villa,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,36,Cash,4.8,4.8,Aston Villa,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
D,37,Digne,4.5,4.5,Aston Villa,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,38,Konsa,4.4,4.4,Aston Villa,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,39,Maatsen,4.2,4.2,Aston Villa,73.20,73.20,73.20,73.20,73.20,73.20,73.20,73.20,73.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,40,Mings,4.3,4.3,Aston Villa,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,41,Pau,4.3,4.3,Aston Villa,15.15,15.15,15.15,15.15,15.15,15.15,15.15,15.15,15.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
