group_type,position,games,goals,shots,time,xG,assists,xA,key_passes,season,team,yellow,red,npg,npxG,xGChain,xGBuildup,player_id,player_name
season,Sub,2,0,2,9,0.11657162755727768,0,0,0,2023,Burnley,0,0,0,0.11657162755727768,0.15364274382591248,0.037071119993925095,6504,Michael Obafemi
season,Sub,4,0,0,52,0,0,0.054918598383665085,1,2020,Southampton,0,0,0,0,0.14890269562602043,0.14890269562602043,6504,Michael Obafemi
season,Sub,21,3,12,654,2.154611974954605,2,1.2253477424383163,10,2019,Southampton,1,0,3,2.154611974954605,2.8837940115481615,0.5151656996458769,6504,Michael Obafemi
season,Sub,6,1,7,131,1.8935815170407295,1,0.3352697044610977,2,2018,Southampton,1,0,1,1.8935815170407295,2.3292839378118515,0.3844362869858742,6504,Michael Obafemi
season,Sub,1,0,1,7,0.5450019836425781,0,0,0,2017,Southampton,0,0,0,0.5450019836425781,0.5450019836425781,0,6504,Michael Obafemi
