id,isResult,h,a,goals,xG,datetime,forecast,season,league
1345,True,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '3', 'a': '0'}","{'h': '1.40487', 'a': '1.4295'}",2016-09-16 22:30:00,"{'w': '0.3687', 'd': '0.3006', 'l': '0.3307'}",2016,Bundesliga
1346,True,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '0', 'a': '4'}","{'h': '1.08134', 'a': '3.30009'}",2016-09-17 17:30:00,"{'w': '0.0217', 'd': '0.0782', 'l': '0.9001'}",2016,Bundesliga
1347,True,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '0', 'a': '0'}","{'h': '1.93562', 'a': '2.34852'}",2016-09-17 17:30:00,"{'w': '0.2809', 'd': '0.2367', 'l': '0.4824'}",2016,Bundesliga
1348,True,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '2', 'a': '1'}","{'h': '2.14781', 'a': '2.11932'}",2016-09-17 17:30:00,"{'w': '0.3633', 'd': '0.2702', 'l': '0.3665'}",2016,Bundesliga
1349,True,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'h': '3', 'a': '1'}","{'h': '0.446972', 'a': '1.54672'}",2016-09-17 17:30:00,"{'w': '0.0889', 'd': '0.2321', 'l': '0.679'}",2016,Bundesliga
1350,True,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'h': '6', 'a': '0'}","{'h': '4.05385', 'a': '0.179729'}",2016-09-17 17:30:00,"{'w': '0.9894', 'd': '0.0097', 'l': '0.0009'}",2016,Bundesliga
1351,True,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '4', 'a': '1'}","{'h': '3.63049', 'a': '1.20156'}",2016-09-17 20:30:00,"{'w': '0.9015', 'd': '0.0729', 'l': '0.0256'}",2016,Bundesliga
1352,True,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '1', 'a': '3'}","{'h': '0.82866', 'a': '1.54386'}",2016-09-18 17:30:00,"{'w': '0.1453', 'd': '0.2802', 'l': '0.5745'}",2016,Bundesliga
1353,True,"{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'h': '2', 'a': '0'}","{'h': '0.724842', 'a': '0.424457'}",2016-09-18 19:30:00,"{'w': '0.3955', 'd': '0.4223', 'l': '0.1822'}",2016,Bundesliga
1354,True,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '1', 'a': '5'}","{'h': '2.71087', 'a': '2.34245'}",2016-09-20 22:00:00,"{'w': '0.4657', 'd': '0.222', 'l': '0.3123'}",2016,Bundesliga
1355,True,"{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '0', 'a': '2'}","{'h': '0.782075', 'a': '0.352096'}",2016-09-20 22:00:00,"{'w': '0.435', 'd': '0.4187', 'l': '0.1463'}",2016,Bundesliga
1356,True,"{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '1', 'a': '1'}","{'h': '1.62811', 'a': '1.44238'}",2016-09-20 22:00:00,"{'w': '0.4083', 'd': '0.281', 'l': '0.3107'}",2016,Bundesliga
1357,True,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '1', 'a': '0'}","{'h': '1.78293', 'a': '0.647916'}",2016-09-20 22:00:00,"{'w': '0.7096', 'd': '0.2243', 'l': '0.0661'}",2016,Bundesliga
1358,True,"{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '1', 'a': '1'}","{'h': '1.58682', 'a': '0.224262'}",2016-09-21 22:00:00,"{'w': '0.7708', 'd': '0.1908', 'l': '0.0384'}",2016,Bundesliga
1359,True,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '1', 'a': '2'}","{'h': '0.916', 'a': '1.38592'}",2016-09-21 22:00:00,"{'w': '0.2283', 'd': '0.2772', 'l': '0.4945'}",2016,Bundesliga
1360,True,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '3', 'a': '0'}","{'h': '2.71721', 'a': '0.153422'}",2016-09-21 22:00:00,"{'w': '0.9429', 'd': '0.0514', 'l': '0.0057'}",2016,Bundesliga
1361,True,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '0', 'a': '0'}","{'h': '2.0338', 'a': '0.230565'}",2016-09-21 22:00:00,"{'w': '0.8793', 'd': '0.1034', 'l': '0.0173'}",2016,Bundesliga
1362,True,"{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'h': '1', 'a': '3'}","{'h': '1.37614', 'a': '1.18875'}",2016-09-21 22:00:00,"{'w': '0.3892', 'd': '0.3065', 'l': '0.3043'}",2016,Bundesliga
1363,True,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '3', 'a': '1'}","{'h': '3.2333', 'a': '1.05384'}",2016-09-23 22:30:00,"{'w': '0.862', 'd': '0.1009', 'l': '0.0371'}",2016,Bundesliga
1364,True,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'h': '2', 'a': '0'}","{'h': '1.18177', 'a': '0.535119'}",2016-09-24 17:30:00,"{'w': '0.5494', 'd': '0.3067', 'l': '0.1439'}",2016,Bundesliga
