group_type,position,games,goals,shots,time,xG,assists,xA,key_passes,season,team,yellow,red,npg,npxG,xGChain,xGBuildup,player_id,player_name
season,Sub,6,0,5,73,0.6116740070283413,0,0,0,2018,Burnley,1,0,0,0.6116740070283413,0.9484357982873917,0.473037987947464,872,Peter Crouch
season,Sub,31,5,23,1532,4.21564557403326,2,3.1475227996706963,21,2017,Stoke,4,0,5,4.21564557403326,7.294580956920981,1.3116847816854715,872,Peter Crouch
season,FW,27,7,37,1319,5.874591821338981,2,3.2038370687514544,17,2016,Stoke,3,0,7,5.874591821338981,7.918542893603444,1.76161540299654,872,Peter Crouch
season,Sub,11,0,7,446,0.3046404980123043,1,0.3946677977219224,4,2015,Stoke,0,0,0,0.3046404980123043,1.2113898899406195,0.6094104927033186,872,Peter Crouch
season,Sub,33,8,59,1648,6.730622369796038,2,1.883066506125033,15,2014,Stoke,4,0,8,6.730622369796038,9.373052059672773,3.5920453937724233,872,Peter Crouch
