Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS,season,league
Arsenal,36,24,7,5,68,26,79,72.35,69.31,31.93,31.93,37.37,9.51,14.01,321,137,74.71,2025,EPL
Manchester City,35,22,8,5,72,32,74,74.75,71.71,41.91,40.24,31.47,10.5,13.35,366,147,69.7,2025,EPL
Manchester United,36,18,11,7,63,48,65,65.57,61.01,47.73,44.69,16.32,10.75,11.38,262,245,59.24,2025,EPL
Liverpool,36,17,8,11,60,48,59,62.71,61.19,49.88,46.84,14.35,9.9,13.8,355,204,58.5,2025,EPL
Aston Villa,36,17,8,11,50,46,59,51.24,51.24,53.75,52.23,-0.99,11.35,9.92,284,196,46.85,2025,EPL
Bournemouth,36,13,16,7,56,52,55,63.78,59.22,53.44,48.88,10.34,9.71,9.91,258,259,57.76,2025,EPL
Brighton,36,14,11,11,52,42,53,55.48,51.68,50.67,46.11,5.57,8.94,14.44,244,240,52.65,2025,EPL
Brentford,36,14,9,13,52,49,51,63.25,55.64,54.29,48.97,6.67,10.94,10.8,226,253,55.6,2025,EPL
Chelsea,36,13,10,13,55,49,49,70.2,64.11,53.63,52.11,12.0,9.74,15.69,263,233,57.84,2025,EPL
Everton,36,13,10,13,46,46,49,48.28,46.76,57.31,54.26,-7.5,13.66,9.16,205,282,44.45,2025,EPL
Fulham,36,14,6,16,44,50,48,46.37,43.32,59.1,56.06,-12.74,12.85,14.26,271,247,41.18,2025,EPL
Sunderland,36,12,12,12,37,46,48,39.52,35.72,58.09,55.81,-20.1,12.11,10.18,198,295,38.36,2025,EPL
Newcastle United,36,13,7,16,50,52,46,58.24,53.67,54.63,50.82,2.85,9.87,11.67,249,260,52.31,2025,EPL
Leeds,36,10,14,12,48,53,44,57.07,50.83,51.36,46.8,4.04,12.16,11.21,192,216,55.21,2025,EPL
Crystal Palace,35,11,11,13,38,44,44,59.2,53.87,52.64,47.31,6.56,12.87,11.21,246,198,51.86,2025,EPL
Nottingham Forest,36,11,10,15,45,47,43,45.03,42.75,59.12,54.55,-11.8,13.4,9.36,196,272,40.05,2025,EPL
Tottenham,36,9,11,16,46,55,38,43.24,43.24,54.23,51.95,-8.71,9.96,9.51,197,251,44.56,2025,EPL
West Ham,36,9,9,18,42,62,36,45.95,43.67,64.03,58.7,-15.04,13.91,9.42,170,265,41.03,2025,EPL
Burnley,36,4,9,23,37,73,21,35.46,33.94,78.51,73.19,-39.25,13.47,11.03,148,338,23.48,2025,EPL
Wolverhampton Wanderers,36,3,9,24,25,66,18,34.1,31.06,65.54,62.49,-31.43,12.98,8.99,163,276,31.66,2025,EPL
