team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Sevilla,138,2025,La_liga,,,,,,,,,,,,,
Real Sociedad,140,2025,La_liga,,,,,,,,,,,,,
Espanyol,141,2025,La_liga,,,,,,,,,,,,,
Getafe,142,2025,La_liga,,,,,,,,,,,,,
Atletico Madrid,143,2025,La_liga,,,,,,,,,,,,,
Rayo Vallecano,145,2025,La_liga,,,,,,,,,,,,,
Valencia,146,2025,La_liga,,,,,,,,,,,,,
Athletic Club,147,2025,La_liga,,,,,,,,,,,,,
Barcelona,148,2025,La_liga,,,,,,,,,,,,,
Real Madrid,150,2025,La_liga,,,,,,,,,,,,,
Levante,151,2025,La_liga,,,,,,,,,,,,,
Celta Vigo,152,2025,La_liga,,,,,,,,,,,,,
Real Betis,153,2025,La_liga,,,,,,,,,,,,,
Villarreal,154,2025,La_liga,,,,,,,,,,,,,
Osasuna,157,2025,La_liga,,,,,,,,,,,,,
Alaves,158,2025,La_liga,,,,,,,,,,,,,
Elche,207,2025,La_liga,,,,,,,,,,,,,
Girona,223,2025,La_liga,,,,,,,,,,,,,
Mallorca,239,2025,La_liga,,,,,,,,,,,,,
Real Oviedo,289,2025,La_liga,,,,,,,,,,,,,
