Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS,season,league
Barcelona,35,30,1,4,91,31,91,96.42,88.99,46.94,43.96,45.02,7.02,16.65,418,146,75.55,2025,La_liga
Real Madrid,35,24,5,6,70,33,77,76.32,65.8,41.66,38.69,27.11,10.8,15.74,357,210,70.38,2025,La_liga
Villarreal,35,21,6,8,65,40,69,64.43,59.23,49.24,43.29,15.93,14.72,9.14,269,237,59.2,2025,La_liga
Atletico Madrid,35,19,6,10,58,38,63,61.99,59.76,45.92,42.21,17.56,10.92,14.68,322,171,58.36,2025,La_liga
Real Betis,35,13,15,7,54,43,54,56.47,54.98,46.01,40.81,14.17,12.58,12.97,241,196,55.39,2025,La_liga
Celta Vigo,35,13,11,11,49,44,50,48.15,42.2,51.16,42.87,-0.67,12.93,13.2,244,209,47.57,2025,La_liga
Getafe,35,13,6,16,28,36,45,31.78,28.8,46.41,43.44,-14.64,10.56,5.6,103,172,39.03,2025,La_liga
Real Sociedad,35,11,11,13,54,55,44,56.61,49.92,53.71,50.0,-0.08,9.15,12.37,223,228,52.77,2025,La_liga
Athletic Club,35,13,5,17,40,51,44,50.41,45.95,44.01,39.31,6.64,9.9,11.49,234,138,51.61,2025,La_liga
Rayo Vallecano,35,10,13,12,36,42,43,54.87,52.64,53.03,47.07,5.58,8.57,11.59,173,213,50.31,2025,La_liga
Osasuna,35,11,9,15,42,45,42,46.44,40.49,48.61,42.66,-2.17,12.43,10.25,172,240,47.72,2025,La_liga
Valencia,35,11,9,15,38,50,42,49.19,42.5,51.4,46.09,-3.59,12.34,10.07,172,214,49.08,2025,La_liga
Sevilla,35,11,7,17,43,56,40,37.29,32.74,57.28,49.1,-16.37,8.92,10.26,180,182,35.3,2025,La_liga
Elche,35,9,12,14,46,54,39,46.64,42.92,66.19,60.99,-18.07,8.37,10.78,201,215,38.42,2025,La_liga
Mallorca,35,10,9,16,43,52,39,43.15,37.71,61.34,56.14,-18.43,12.63,10.34,134,259,36.42,2025,La_liga
Espanyol,35,10,9,16,38,53,39,48.44,44.73,58.74,55.02,-10.3,12.14,8.95,162,218,40.1,2025,La_liga
Girona,35,9,12,14,37,52,39,46.78,40.83,62.07,57.61,-16.78,13.59,10.41,204,268,40.03,2025,La_liga
Alaves,35,9,10,16,41,54,37,49.62,44.41,50.34,46.62,-2.21,10.01,8.78,151,217,47.13,2025,La_liga
Levante,35,9,9,17,41,57,36,53.27,49.44,62.43,59.36,-9.91,12.39,9.05,189,283,42.22,2025,La_liga
Real Oviedo,35,6,11,18,26,54,29,39.44,37.21,61.21,56.01,-18.8,11.85,9.78,140,273,34.53,2025,La_liga
