group_type,position,games,goals,shots,time,xG,assists,xA,key_passes,season,team,yellow,red,npg,npxG,xGChain,xGBuildup,player_id,player_name
season,Sub,11,0,2,810,0.04825178999453783,0,0.11278592422604561,2,2025,Fiorentina,3,0,0,0.04825178999453783,1.7687735836952925,1.667766323313117,8380,Pablo Marí
season,DC,19,0,2,1634,0.1706070899963379,0,0.13119366392493248,3,2024,Monza,2,1,0,0.1706070899963379,5.181508889421821,5.181508889421821,8380,Pablo Marí
season,Sub,13,0,5,1097,0.15433206129819155,0,0,0,2024,Fiorentina,2,0,0,0.15433206129819155,3.2361158933490515,3.2361158933490515,8380,Pablo Marí
season,DC,34,0,8,2609,0.3156427722424269,0,0.6654438972473145,4,2023,Monza,7,0,0,0.3156427722424269,5.760206629522145,5.714745820499957,8380,Pablo Marí
season,DC,30,1,10,2492,0.66630186047405,0,0.11141728982329369,3,2022,Monza,4,0,1,0.66630186047405,7.20591345243156,7.185781447216868,8380,Pablo Marí
season,DC,15,2,10,1343,0.6438029929995537,0,0.961790781468153,4,2021,Udinese,2,1,2,0.6438029929995537,2.3780332878232002,1.9920960739254951,8380,Pablo Marí
season,DC,2,0,1,180,0.031568098813295364,0,0.42649099230766296,1,2021,Arsenal,1,0,0,0.031568098813295364,0.37587519735097885,0.37587519735097885,8380,Pablo Marí
season,DC,10,0,2,900,0.04052269924432039,0,0.05424389988183975,1,2020,Arsenal,2,0,0,0.04052269924432039,3.6049748361110687,3.590737834572792,8380,Pablo Marí
season,DC,2,0,0,113,0,0,0,0,2019,Arsenal,0,0,0,0,0.5135990083217621,0.5135990083217621,8380,Pablo Marí
