goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_id,player_name
0,0,0,3,Sub,Southampton,Arsenal,1,2,2025-05-25,26977,2024,730104,0,0,0,0,0,0,0,13636,Joachim Kayi-Sanda
0,0,0,6,Sub,Everton,Southampton,2,0,2025-05-18,26968,2024,728302,0,0,0,0,0,0.13608679175376892,0.13608679175376892,13636,Joachim Kayi-Sanda
