group_type,position,games,goals,shots,time,xG,assists,xA,key_passes,season,team,yellow,red,npg,npxG,xGChain,xGBuildup,player_id,player_name
season,DC,16,0,4,1285,0.168154152110219,1,0.3937023878097534,4,2025,Atletico Madrid,4,1,0,0.168154152110219,5.58358390070498,5.461337188258767,5050,Clement Lenglet
season,DC,23,2,10,1987,2.1961113438010216,1,0.9537689723074436,5,2024,Atletico Madrid,9,0,2,2.1961113438010216,11.544151531532407,11.482247652485967,5050,Clement Lenglet
season,DC,14,0,7,1167,0.9835287630558014,1,0.8562045320868492,2,2023,Aston Villa,3,0,0,0.9835287630558014,7.290762335062027,7.290762335062027,5050,Clement Lenglet
season,Sub,26,0,13,2039,0.960752010345459,2,0.7074382677674294,6,2022,Tottenham,3,0,0,0.960752010345459,8.319994319230318,8.151936292648315,5050,Clement Lenglet
season,Sub,21,0,2,808,0.20299839973449707,1,0.4795539975166321,2,2021,Barcelona,4,0,0,0.20299839973449707,5.326362257823348,5.032515360042453,5050,Clement Lenglet
season,DC,33,1,11,2477,2.4040350448340178,0,0.7945527993142605,9,2020,Barcelona,7,2,1,2.4040350448340178,19.133135244250298,18.894730664789677,5050,Clement Lenglet
season,DC,28,2,10,2437,0.7666295096278191,1,0.49312050826847553,6,2019,Barcelona,7,2,2,0.7666295096278191,12.803689502179623,12.634092472493649,5050,Clement Lenglet
season,Sub,23,1,6,1935,1.4620936810970306,0,0,0,2018,Barcelona,8,1,1,1.4620936810970306,10.8808280415833,10.8808280415833,5050,Clement Lenglet
season,DC,35,3,13,3000,2.594841768965125,1,0.8592732157558203,5,2017,Sevilla,9,0,3,2.594841768965125,5.999788048677146,5.865513150580227,5050,Clement Lenglet
season,DC,18,0,6,1620,0.3374917022883892,0,0.7120703030377626,2,2016,Nancy,4,0,0,0.3374917022883892,0.47596161533147097,0.4662123052403331,5050,Clement Lenglet
season,DC,17,0,1,1360,0.09317430108785629,0,0.3360861875116825,2,2016,Sevilla,2,0,0,0.09317430108785629,5.629694044589996,5.2936080545187,5050,Clement Lenglet
