group_type,position,games,goals,shots,time,xG,assists,xA,key_passes,season,team,yellow,red,npg,npxG,xGChain,xGBuildup,player_id,player_name
season,DC,9,0,2,683,0.15062400698661804,0,0.0724174976348877,1,2019,Nantes,1,1,0,0.15062400698661804,0.9977406207472086,0.9253235999494791,1159,Molla Wagué
season,Sub,2,0,3,91,0.3730120062828064,0,0,0,2018,Udinese,0,0,0,0.3730120062828064,1.0359097076579928,0.7642856789752841,1159,Molla Wagué
season,Sub,6,1,3,441,0.6763319820165634,0,0,0,2017,Watford,0,0,1,0.6763319820165634,0.28121501207351685,0.28121501207351685,1159,Molla Wagué
season,DR,1,0,1,58,0.029131600633263588,0,0,0,2017,Udinese,0,0,0,0.029131600633263588,0.08450569957494736,0.08450569957494736,1159,Molla Wagué
season,DR,6,0,5,540,0.27435400523245335,0,0.014451299794018269,1,2016,Udinese,2,0,0,0.27435400523245335,0.17197009827941656,0.15114969853311777,1159,Molla Wagué
season,DC,21,0,11,1690,0.8481212230399251,0,0.7787601761519909,4,2015,Udinese,5,1,0,0.8481212230399251,0.9355384930968285,0.8862321972846985,1159,Molla Wagué
season,DC,10,2,5,894,1.0469272201880813,0,0.04576969891786575,1,2014,Udinese,4,0,2,1.0469272201880813,0.9523604921996593,0.9065909869968891,1159,Molla Wagué
