team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Aston Villa,71,2023,EPL,,,,,,,,,,,,,
Everton,72,2023,EPL,,,,,,,,,,,,,
Bournemouth,73,2023,EPL,,,,,,,,,,,,,
Crystal Palace,78,2023,EPL,,,,,,,,,,,,,
Chelsea,80,2023,EPL,,,,,,,,,,,,,
West Ham,81,2023,EPL,,,,,,,,,,,,,
Tottenham,82,2023,EPL,,,,,,,,,,,,,
Arsenal,83,2023,EPL,,,,,,,,,,,,,
Newcastle United,86,2023,EPL,,,,,,,,,,,,,
Liverpool,87,2023,EPL,,,,,,,,,,,,,
Manchester City,88,2023,EPL,,,,,,,,,,,,,
Manchester United,89,2023,EPL,,,,,,,,,,,,,
Burnley,92,2023,EPL,,,,,,,,,,,,,
Brighton,220,2023,EPL,,,,,,,,,,,,,
Fulham,228,2023,EPL,,,,,,,,,,,,,
Wolverhampton Wanderers,229,2023,EPL,,,,,,,,,,,,,
Sheffield United,238,2023,EPL,,,,,,,,,,,,,
Brentford,244,2023,EPL,,,,,,,,,,,,,
Nottingham Forest,249,2023,EPL,,,,,,,,,,,,,
Luton,256,2023,EPL,,,,,,,,,,,,,
