team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Aston Villa,71,2021,EPL,,,,,,,,,,,,,
Everton,72,2021,EPL,,,,,,,,,,,,,
Southampton,74,2021,EPL,,,,,,,,,,,,,
Leicester,75,2021,EPL,,,,,,,,,,,,,
Crystal Palace,78,2021,EPL,,,,,,,,,,,,,
Norwich,79,2021,EPL,,,,,,,,,,,,,
Chelsea,80,2021,EPL,,,,,,,,,,,,,
West Ham,81,2021,EPL,,,,,,,,,,,,,
Tottenham,82,2021,EPL,,,,,,,,,,,,,
Arsenal,83,2021,EPL,,,,,,,,,,,,,
Newcastle United,86,2021,EPL,,,,,,,,,,,,,
Liverpool,87,2021,EPL,,,,,,,,,,,,,
Manchester City,88,2021,EPL,,,,,,,,,,,,,
Manchester United,89,2021,EPL,,,,,,,,,,,,,
Watford,90,2021,EPL,,,,,,,,,,,,,
Burnley,92,2021,EPL,,,,,,,,,,,,,
Brighton,220,2021,EPL,,,,,,,,,,,,,
Wolverhampton Wanderers,229,2021,EPL,,,,,,,,,,,,,
Brentford,244,2021,EPL,,,,,,,,,,,,,
Leeds,245,2021,EPL,,,,,,,,,,,,,
