team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Lille,160,2024,Ligue_1,,,,,,,,,,,,,
Paris Saint Germain,161,2024,Ligue_1,,,,,,,,,,,,,
Rennes,163,2024,Ligue_1,,,,,,,,,,,,,
Marseille,164,2024,Ligue_1,,,,,,,,,,,,,
Montpellier,166,2024,Ligue_1,,,,,,,,,,,,,
Angers,167,2024,Ligue_1,,,,,,,,,,,,,
Nantes,168,2024,Ligue_1,,,,,,,,,,,,,
Nice,170,2024,Ligue_1,,,,,,,,,,,,,
Monaco,171,2024,Ligue_1,,,,,,,,,,,,,
Toulouse,174,2024,Ligue_1,,,,,,,,,,,,,
Saint-Etienne,175,2024,Ligue_1,,,,,,,,,,,,,
Reims,177,2024,Ligue_1,,,,,,,,,,,,,
Lyon,178,2024,Ligue_1,,,,,,,,,,,,,
Lens,210,2024,Ligue_1,,,,,,,,,,,,,
Strasbourg,225,2024,Ligue_1,,,,,,,,,,,,,
Brest,241,2024,Ligue_1,,,,,,,,,,,,,
Auxerre,275,2024,Ligue_1,,,,,,,,,,,,,
Le Havre,282,2024,Ligue_1,,,,,,,,,,,,,
