team,team_id,season,league,h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
Sevilla,138,2020,La_liga,a,2.2102,1.0983,2.2102,1.0983,"{'att': 79, 'def': 23}","{'att': 501, 'def': 16}",13,3,3,1,2.149,w,2020-09-27 19:00:00,1,0,0,3,1.1118999999999999
Sevilla,138,2020,La_liga,h,1.04729,0.375244,1.04729,0.375244,"{'att': 169, 'def': 26}","{'att': 327, 'def': 25}",8,0,1,0,1.9491999999999998,w,2020-10-01 17:00:00,1,0,0,3,0.672046
Sevilla,138,2020,La_liga,a,1.25522,1.05717,1.25522,1.05717,"{'att': 370, 'def': 33}","{'att': 380, 'def': 24}",2,3,1,1,1.5297999999999998,d,2020-10-04 19:00:00,0,1,0,1,0.19805000000000006
Sevilla,138,2020,La_liga,a,0.699011,1.08721,0.699011,1.08721,"{'att': 194, 'def': 17}","{'att': 216, 'def': 27}",5,5,0,1,0.946,l,2020-10-17 11:00:00,0,0,1,0,-0.38819899999999996
Sevilla,138,2020,La_liga,h,1.98558,0.198368,1.98558,0.198368,"{'att': 119, 'def': 23}","{'att': 422, 'def': 27}",5,2,0,1,2.7435,l,2020-10-24 16:30:00,0,0,1,0,1.7872119999999998
Sevilla,138,2020,La_liga,a,1.15091,1.32876,1.15091,1.32876,"{'att': 179, 'def': 28}","{'att': 270, 'def': 20}",6,3,1,2,1.1655,l,2020-10-31 15:00:00,0,0,1,0,-0.17784999999999984
Sevilla,138,2020,La_liga,h,1.151,0.499107,0.407718,0.499107,"{'att': 121, 'def': 16}","{'att': 376, 'def': 34}",3,5,1,0,2.0554,w,2020-11-07 17:30:00,1,0,0,3,-0.091389
Sevilla,138,2020,La_liga,h,2.22603,2.08172,2.22603,2.08172,"{'att': 230, 'def': 22}","{'att': 267, 'def': 25}",5,3,4,2,1.4625,w,2020-11-21 17:30:00,1,0,0,3,0.14431000000000038
Sevilla,138,2020,La_liga,a,1.69981,0.167609,1.69981,0.167609,"{'att': 154, 'def': 22}","{'att': 336, 'def': 17}",11,2,1,0,2.6534,w,2020-11-28 17:30:00,1,0,0,3,1.5322010000000001
Sevilla,138,2020,La_liga,h,0.533909,1.69653,0.533909,1.69653,"{'att': 203, 'def': 33}","{'att': 347, 'def': 25}",6,4,0,1,0.39749999999999996,l,2020-12-05 15:15:00,0,0,1,0,-1.1626210000000001
Sevilla,138,2020,La_liga,a,0.507527,0.374252,0.507527,0.374252,"{'att': 76, 'def': 16}","{'att': 415, 'def': 19}",4,1,1,0,1.3885,w,2020-12-12 15:15:00,1,0,0,3,0.13327499999999998
Sevilla,138,2020,La_liga,h,1.73966,0.878614,0.996384,0.878614,"{'att': 176, 'def': 22}","{'att': 306, 'def': 23}",10,3,1,1,2.0837,d,2020-12-19 20:00:00,0,1,0,1,0.11777000000000004
Sevilla,138,2020,La_liga,a,1.85011,0.559111,1.85011,0.559111,"{'att': 120, 'def': 25}","{'att': 290, 'def': 21}",15,1,1,0,2.4484999999999997,w,2020-12-22 16:30:00,1,0,0,3,1.2909989999999998
Sevilla,138,2020,La_liga,h,2.7317,0.346419,1.98842,0.346419,"{'att': 319, 'def': 27}","{'att': 245, 'def': 28}",5,3,2,0,2.8811,w,2020-12-29 18:00:00,1,0,0,3,1.642001
Sevilla,138,2020,La_liga,a,0.248156,2.03775,0.248156,0.521309,"{'att': 209, 'def': 31}","{'att': 312, 'def': 27}",2,5,1,1,0.1239,d,2021-01-02 15:15:00,0,1,0,1,-0.27315300000000003
