id,isResult,h,a,goals,xG,datetime,forecast,season,league
8565,True,"{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '3', 'a': '2'}","{'h': '2.14636', 'a': '0.248798'}",2017-08-04 19:45:00,"{'w': '0.8672', 'd': '0.1105', 'l': '0.0223'}",2017,Ligue_1
8566,True,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '224', 'title': 'Amiens', 'short_title': 'AMI'}","{'h': '2', 'a': '0'}","{'h': '2.25264', 'a': '0.190301'}",2017-08-05 16:15:00,"{'w': '0.8981', 'd': '0.0875', 'l': '0.0144'}",2017,Ligue_1
8567,True,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '4', 'a': '0'}","{'h': '1.72783', 'a': '0.292445'}",2017-08-05 19:00:00,"{'w': '0.812', 'd': '0.1553', 'l': '0.0327'}",2017,Ligue_1
8568,True,"{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '1', 'a': '3'}","{'h': '0.557371', 'a': '1.45737'}",2017-08-05 19:00:00,"{'w': '0.0853', 'd': '0.2789', 'l': '0.6358'}",2017,Ligue_1
8569,True,"{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '1', 'a': '0'}","{'h': '0.943684', 'a': '0.593773'}",2017-08-05 19:00:00,"{'w': '0.4413', 'd': '0.3855', 'l': '0.1732'}",2017,Ligue_1
8570,True,"{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '1', 'a': '1'}","{'h': '1.33762', 'a': '1.87176'}",2017-08-05 19:00:00,"{'w': '0.2409', 'd': '0.2528', 'l': '0.5063'}",2017,Ligue_1
8571,True,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'h': '1', 'a': '0'}","{'h': '1.46179', 'a': '0.31924'}",2017-08-05 19:00:00,"{'w': '0.7392', 'd': '0.2061', 'l': '0.0547'}",2017,Ligue_1
8572,True,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '3', 'a': '0'}","{'h': '1.90958', 'a': '1.0773'}",2017-08-06 14:00:00,"{'w': '0.5988', 'd': '0.2482', 'l': '0.153'}",2017,Ligue_1
8573,True,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '2', 'a': '2'}","{'h': '1.11146', 'a': '1.77916'}",2017-08-06 16:00:00,"{'w': '0.1763', 'd': '0.2727', 'l': '0.551'}",2017,Ligue_1
8574,True,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '181', 'title': 'Dijon', 'short_title': 'DJN'}","{'h': '3', 'a': '0'}","{'h': '2.41348', 'a': '0.594982'}",2017-08-06 20:00:00,"{'w': '0.8148', 'd': '0.1348', 'l': '0.0504'}",2017,Ligue_1
