group_type,position,games,goals,shots,time,xG,assists,xA,key_passes,season,team,yellow,red,npg,npxG,xGChain,xGBuildup,player_id,player_name
season,DMR,8,0,4,611,0.33076490834355354,1,0.3983299061655998,6,2019,Watford,1,0,0,0.33076490834355354,1.80352071672678,1.2739357091486454,764,Daryl Janmaat
season,DR,18,0,11,1524,0.4652440957725048,2,0.5796329937875271,12,2018,Watford,3,0,0,0.4652440957725048,3.363954272121191,2.501093165948987,764,Daryl Janmaat
season,DR,23,3,24,1823,1.6508419197052717,0,0.9912612996995449,12,2017,Watford,3,0,3,1.6508419197052717,4.680952705442905,3.0537463910877705,764,Daryl Janmaat
season,DR,27,2,26,1620,1.470455477014184,1,1.5475112907588482,13,2016,Watford,2,0,2,1.470455477014184,3.83804870210588,2.3895008843392134,764,Daryl Janmaat
season,DR,32,2,19,2754,1.1652493462897837,4,3.490501798223704,25,2015,Newcastle United,5,1,2,1.1652493462897837,9.721465773880482,6.243291113525629,764,Daryl Janmaat
season,DR,37,1,35,3263,1.4101378628984094,6,2.940818637609482,31,2014,Newcastle United,6,1,1,1.4101378628984094,6.7864417396485806,4.356649793684483,764,Daryl Janmaat
