group_type,position,games,goals,shots,time,xG,assists,xA,key_passes,season,team,yellow,red,npg,npxG,xGChain,xGBuildup,player_id,player_name
season,Sub,31,8,46,1827,4.142274813726544,4,2.665413634851575,24,2025,Real Sociedad,3,0,8,4.142274813726544,11.958985421806574,7.62766895070672,5682,Gonçalo Guedes
season,Sub,29,2,27,968,3.3298932649195194,4,1.4344439525157213,14,2024,Wolverhampton Wanderers,1,0,2,3.3298932649195194,5.6499579809606075,1.7406257223337889,5682,Gonçalo Guedes
season,Sub,17,3,25,947,2.451155014336109,2,1.9316470362246037,18,2023,Villarreal,0,0,3,2.451155014336109,5.377200864255428,1.6393129080533981,5682,Gonçalo Guedes
season,Sub,13,1,19,718,1.2725390158593655,1,0.5424784012138844,9,2022,Wolverhampton Wanderers,1,0,1,1.2725390158593655,2.087318381294608,0.42029860336333513,5682,Gonçalo Guedes
season,FW,36,11,70,2653,7.205688217654824,6,5.612193078733981,45,2021,Valencia,3,0,10,5.719137305393815,12.684107702225447,5.332130899652839,5682,Gonçalo Guedes
season,ML,31,5,51,2310,3.051467962563038,5,4.022438261657953,34,2020,Valencia,3,1,5,3.051467962563038,9.700765080749989,4.904533015564084,5682,Gonçalo Guedes
season,ML,21,2,23,1264,1.3183714840561152,2,1.1388467960059643,17,2019,Valencia,3,0,2,1.3183714840561152,4.736859381198883,2.865120431408286,5682,Gonçalo Guedes
season,Sub,25,5,35,1472,2.0074867689982057,3,3.0421640314161777,21,2018,Valencia,2,0,5,2.0074867689982057,7.235339828766882,3.96382768265903,5682,Gonçalo Guedes
season,Sub,33,5,61,2443,4.797543115913868,9,6.607715420424938,46,2017,Valencia,2,0,5,4.797543115913868,18.108088901266456,8.179078746587038,5682,Gonçalo Guedes
season,Sub,1,0,0,4,0,0,0,0,2017,Paris Saint Germain,0,0,0,0,0,0,5682,Gonçalo Guedes
season,Sub,7,0,5,141,0.40549299120903015,1,1.007025615312159,3,2016,Paris Saint Germain,0,0,0,0.40549299120903015,1.4125180095434189,0.124730602838099,5682,Gonçalo Guedes
