Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS,season,league
Inter,36,27,4,5,85,31,85,83.02,78.45,33.34,30.29,48.16,9.57,16.6,421,123,79.07,2025,Serie_A
Napoli,36,21,7,8,54,36,70,54.78,50.98,40.39,32.65,18.33,11.69,16.33,249,143,59.23,2025,Serie_A
Juventus,36,19,11,6,59,30,68,69.66,65.72,34.66,32.37,33.35,10.69,15.94,362,166,70.68,2025,Serie_A
Roma,36,21,4,11,55,31,67,57.76,53.19,41.22,40.46,12.73,8.62,12.97,299,164,61.96,2025,Serie_A
AC Milan,36,19,10,7,50,32,67,61.5,55.41,41.01,34.92,20.48,14.55,14.95,279,191,62.75,2025,Serie_A
Como,36,18,11,7,60,28,65,62.56,57.23,38.08,34.27,22.95,7.79,14.79,226,145,63.45,2025,Serie_A
Atalanta,36,15,13,8,50,34,58,66.19,63.9,49.49,46.32,17.58,10.84,13.62,342,229,61.34,2025,Serie_A
Bologna,36,15,7,14,45,43,52,47.38,42.05,48.85,45.8,-3.75,9.64,12.06,193,167,49.14,2025,Serie_A
Lazio,36,13,12,11,39,37,51,44.39,40.46,46.51,42.71,-2.25,16.58,13.0,165,204,46.14,2025,Serie_A
Udinese,36,14,8,14,45,46,50,46.5,42.69,54.79,49.46,-6.77,11.34,8.99,190,197,45.24,2025,Serie_A
Sassuolo,36,14,7,15,44,46,49,43.91,40.54,58.26,53.69,-13.16,15.48,10.4,195,266,42.97,2025,Serie_A
Torino,36,12,8,16,41,59,44,49.27,43.82,56.07,53.02,-9.2,13.09,11.28,160,250,46.04,2025,Serie_A
Parma Calcio 1913,36,10,12,14,27,45,42,34.16,32.63,58.02,53.45,-20.81,13.54,9.56,134,291,35.78,2025,Serie_A
Genoa,36,10,11,15,40,48,41,45.68,38.83,51.94,47.37,-8.54,10.1,9.59,138,227,44.48,2025,Serie_A
Fiorentina,36,8,14,14,38,49,38,50.51,45.94,53.92,49.35,-3.4,12.34,11.13,183,210,46.93,2025,Serie_A
Cagliari,36,9,10,17,36,51,37,38.53,37.01,57.27,55.74,-18.73,14.66,9.96,128,219,37.92,2025,Serie_A
Lecce,36,8,8,20,24,48,32,33.72,32.2,60.97,56.4,-24.2,11.6,7.46,123,257,33.21,2025,Serie_A
Cremonese,36,7,10,19,30,53,31,35.84,33.56,63.55,59.6,-26.05,13.23,10.96,107,255,34.36,2025,Serie_A
Verona,36,3,11,22,24,58,20,35.88,33.6,49.18,45.81,-12.21,11.88,9.68,146,213,40.64,2025,Serie_A
Pisa,36,2,12,22,25,66,18,40.27,34.94,64.02,59.45,-24.51,13.25,9.04,159,282,36.91,2025,Serie_A
