team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Verona,94,2025,Serie_A,,,,,,,,,,,,,
Roma,95,2025,Serie_A,,,,,,,,,,,,,
Lazio,96,2025,Serie_A,,,,,,,,,,,,,
Bologna,97,2025,Serie_A,,,,,,,,,,,,,
Juventus,98,2025,Serie_A,,,,,,,,,,,,,
Udinese,99,2025,Serie_A,,,,,,,,,,,,,
Genoa,101,2025,Serie_A,,,,,,,,,,,,,
Sassuolo,104,2025,Serie_A,,,,,,,,,,,,,
Napoli,105,2025,Serie_A,,,,,,,,,,,,,
Inter,106,2025,Serie_A,,,,,,,,,,,,,
Atalanta,107,2025,Serie_A,,,,,,,,,,,,,
Fiorentina,110,2025,Serie_A,,,,,,,,,,,,,
AC Milan,111,2025,Serie_A,,,,,,,,,,,,,
Torino,113,2025,Serie_A,,,,,,,,,,,,,
Cagliari,116,2025,Serie_A,,,,,,,,,,,,,
Parma Calcio 1913,230,2025,Serie_A,,,,,,,,,,,,,
Lecce,243,2025,Serie_A,,,,,,,,,,,,,
Cremonese,272,2025,Serie_A,,,,,,,,,,,,,
Como,286,2025,Serie_A,,,,,,,,,,,,,
Pisa,291,2025,Serie_A,,,,,,,,,,,,,
