team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Lille,160,2016,Ligue_1,,,,,,,,,,,,,
Paris Saint Germain,161,2016,Ligue_1,,,,,,,,,,,,,
SC Bastia,162,2016,Ligue_1,,,,,,,,,,,,,
Rennes,163,2016,Ligue_1,,,,,,,,,,,,,
Marseille,164,2016,Ligue_1,,,,,,,,,,,,,
Caen,165,2016,Ligue_1,,,,,,,,,,,,,
Montpellier,166,2016,Ligue_1,,,,,,,,,,,,,
Angers,167,2016,Ligue_1,,,,,,,,,,,,,
Nantes,168,2016,Ligue_1,,,,,,,,,,,,,
Guingamp,169,2016,Ligue_1,,,,,,,,,,,,,
Nice,170,2016,Ligue_1,,,,,,,,,,,,,
Monaco,171,2016,Ligue_1,,,,,,,,,,,,,
Toulouse,174,2016,Ligue_1,,,,,,,,,,,,,
Saint-Etienne,175,2016,Ligue_1,,,,,,,,,,,,,
Bordeaux,176,2016,Ligue_1,,,,,,,,,,,,,
Lyon,178,2016,Ligue_1,,,,,,,,,,,,,
Lorient,179,2016,Ligue_1,,,,,,,,,,,,,
Metz,180,2016,Ligue_1,,,,,,,,,,,,,
Dijon,181,2016,Ligue_1,,,,,,,,,,,,,
Nancy,182,2016,Ligue_1,,,,,,,,,,,,,
