id,isResult,h,a,goals,xG,datetime,forecast,season,league
9598,True,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '0', 'a': '3'}","{'h': '0.494365', 'a': '2.45978'}",2018-09-01 16:00:00,"{'w': '0.0324', 'd': '0.1094', 'l': '0.8582'}",2018,Serie_A
9599,True,"{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '1', 'a': '2'}","{'h': '1.9062', 'a': '2.18413'}",2018-09-01 18:30:00,"{'w': '0.3013', 'd': '0.2748', 'l': '0.4239'}",2018,Serie_A
9600,True,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '1', 'a': '0'}","{'h': '1.10313', 'a': '0.165399'}",2018-09-02 16:00:00,"{'w': '0.6449', 'd': '0.3122', 'l': '0.0429'}",2018,Serie_A
9601,True,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'h': '1', 'a': '0'}","{'h': '2.8529', 'a': '0.491729'}",2018-09-02 18:30:00,"{'w': '0.9036', 'd': '0.0763', 'l': '0.0201'}",2018,Serie_A
9602,True,"{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '0', 'a': '0'}","{'h': '1.26902', 'a': '1.35877'}",2018-09-02 18:30:00,"{'w': '0.3188', 'd': '0.3067', 'l': '0.3745'}",2018,Serie_A
9603,True,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': '0', 'a': '1'}","{'h': '0.323806', 'a': '0.250446'}",2018-09-02 18:30:00,"{'w': '0.2256', 'd': '0.6105', 'l': '0.1639'}",2018,Serie_A
9604,True,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '3', 'a': '0'}","{'h': '0.829691', 'a': '1.11682'}",2018-09-02 18:30:00,"{'w': '0.2492', 'd': '0.325', 'l': '0.4258'}",2018,Serie_A
9605,True,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '5', 'a': '3'}","{'h': '2.05648', 'a': '1.88827'}",2018-09-02 18:30:00,"{'w': '0.4157', 'd': '0.26', 'l': '0.3243'}",2018,Serie_A
9606,True,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '221', 'title': 'SPAL 2013', 'short_title': 'SPL'}","{'h': '1', 'a': '0'}","{'h': '2.01945', 'a': '0.656746'}",2018-09-02 18:30:00,"{'w': '0.7442', 'd': '0.18', 'l': '0.0758'}",2018,Serie_A
9611,True,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'h': '0', 'a': '1'}","{'h': '1.38542', 'a': '0.297443'}",2018-09-15 13:00:00,"{'w': '0.6583', 'd': '0.2624', 'l': '0.0793'}",2018,Serie_A
