team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Roma,95,2018,Serie_A,,,,,,,,,,,,,
Lazio,96,2018,Serie_A,,,,,,,,,,,,,
Bologna,97,2018,Serie_A,,,,,,,,,,,,,
Juventus,98,2018,Serie_A,,,,,,,,,,,,,
Udinese,99,2018,Serie_A,,,,,,,,,,,,,
Genoa,101,2018,Serie_A,,,,,,,,,,,,,
Sampdoria,102,2018,Serie_A,,,,,,,,,,,,,
Sassuolo,104,2018,Serie_A,,,,,,,,,,,,,
Napoli,105,2018,Serie_A,,,,,,,,,,,,,
Inter,106,2018,Serie_A,,,,,,,,,,,,,
Atalanta,107,2018,Serie_A,,,,,,,,,,,,,
Empoli,108,2018,Serie_A,,,,,,,,,,,,,
Chievo,109,2018,Serie_A,,,,,,,,,,,,,
Fiorentina,110,2018,Serie_A,,,,,,,,,,,,,
AC Milan,111,2018,Serie_A,,,,,,,,,,,,,
Frosinone,112,2018,Serie_A,,,,,,,,,,,,,
Torino,113,2018,Serie_A,,,,,,,,,,,,,
Cagliari,116,2018,Serie_A,,,,,,,,,,,,,
SPAL 2013,221,2018,Serie_A,,,,,,,,,,,,,
Parma Calcio 1913,230,2018,Serie_A,,,,,,,,,,,,,
