team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Sevilla,138,2023,La_liga,,,,,,,,,,,,,
Real Sociedad,140,2023,La_liga,,,,,,,,,,,,,
Getafe,142,2023,La_liga,,,,,,,,,,,,,
Atletico Madrid,143,2023,La_liga,,,,,,,,,,,,,
Las Palmas,144,2023,La_liga,,,,,,,,,,,,,
Rayo Vallecano,145,2023,La_liga,,,,,,,,,,,,,
Valencia,146,2023,La_liga,,,,,,,,,,,,,
Athletic Club,147,2023,La_liga,,,,,,,,,,,,,
Barcelona,148,2023,La_liga,,,,,,,,,,,,,
Real Madrid,150,2023,La_liga,,,,,,,,,,,,,
Celta Vigo,152,2023,La_liga,,,,,,,,,,,,,
Real Betis,153,2023,La_liga,,,,,,,,,,,,,
Villarreal,154,2023,La_liga,,,,,,,,,,,,,
Granada,155,2023,La_liga,,,,,,,,,,,,,
Osasuna,157,2023,La_liga,,,,,,,,,,,,,
Alaves,158,2023,La_liga,,,,,,,,,,,,,
Almeria,208,2023,La_liga,,,,,,,,,,,,,
Girona,223,2023,La_liga,,,,,,,,,,,,,
Mallorca,239,2023,La_liga,,,,,,,,,,,,,
Cadiz,261,2023,La_liga,,,,,,,,,,,,,
