team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Sevilla,138,2021,La_liga,,,,,,,,,,,,,
Real Sociedad,140,2021,La_liga,,,,,,,,,,,,,
Espanyol,141,2021,La_liga,,,,,,,,,,,,,
Getafe,142,2021,La_liga,,,,,,,,,,,,,
Atletico Madrid,143,2021,La_liga,,,,,,,,,,,,,
Rayo Vallecano,145,2021,La_liga,,,,,,,,,,,,,
Valencia,146,2021,La_liga,,,,,,,,,,,,,
Athletic Club,147,2021,La_liga,,,,,,,,,,,,,
Barcelona,148,2021,La_liga,,,,,,,,,,,,,
Real Madrid,150,2021,La_liga,,,,,,,,,,,,,
Levante,151,2021,La_liga,,,,,,,,,,,,,
Celta Vigo,152,2021,La_liga,,,,,,,,,,,,,
Real Betis,153,2021,La_liga,,,,,,,,,,,,,
Villarreal,154,2021,La_liga,,,,,,,,,,,,,
Granada,155,2021,La_liga,,,,,,,,,,,,,
Osasuna,157,2021,La_liga,,,,,,,,,,,,,
Alaves,158,2021,La_liga,,,,,,,,,,,,,
Elche,207,2021,La_liga,,,,,,,,,,,,,
Mallorca,239,2021,La_liga,,,,,,,,,,,,,
Cadiz,261,2021,La_liga,,,,,,,,,,,,,
