team,team_id,season,league,h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
Bayern Munich,117,2019,Bundesliga,h,2.47707,1.18459,1.71929,1.18459,"{'att': 168, 'def': 16}","{'att': 373, 'def': 23}",17,2,2,2,2.3576,d,2019-08-16 19:30:00,0,1,0,1,0.5347
Bayern Munich,117,2019,Bundesliga,a,1.59729,1.08016,0.83951,1.08016,"{'att': 184, 'def': 19}","{'att': 457, 'def': 25}",9,6,3,0,1.8269000000000002,w,2019-08-24 17:30:00,1,0,0,3,-0.24065000000000003
Bayern Munich,117,2019,Bundesliga,h,3.34597,0.72047,3.34597,0.72047,"{'att': 166, 'def': 31}","{'att': 407, 'def': 20}",8,2,6,1,2.8148,w,2019-08-31 14:30:00,1,0,0,3,2.6254999999999997
Bayern Munich,117,2019,Bundesliga,a,1.6704,1.65427,1.6704,0.896496,"{'att': 192, 'def': 21}","{'att': 481, 'def': 28}",10,7,1,1,1.3717000000000001,d,2019-09-14 16:30:00,0,1,0,1,0.7739040000000001
Bayern Munich,117,2019,Bundesliga,h,2.92351,1.03267,2.16573,1.03267,"{'att': 198, 'def': 25}","{'att': 319, 'def': 22}",12,7,4,0,2.5456,w,2019-09-21 13:30:00,1,0,0,3,1.13306
Bayern Munich,117,2019,Bundesliga,a,3.47305,0.281111,3.47305,0.281111,"{'att': 207, 'def': 21}","{'att': 420, 'def': 25}",17,2,3,2,2.9263999999999997,w,2019-09-28 13:30:00,1,0,0,3,3.191939
Bayern Munich,117,2019,Bundesliga,h,1.77327,0.723738,1.77327,0.723738,"{'att': 238, 'def': 29}","{'att': 408, 'def': 19}",11,3,1,2,2.1699,l,2019-10-05 14:30:00,0,0,1,0,1.049532
Bayern Munich,117,2019,Bundesliga,a,3.06071,2.14428,3.06071,2.14428,"{'att': 107, 'def': 17}","{'att': 436, 'def': 13}",20,3,2,2,1.9958000000000002,d,2019-10-19 14:30:00,0,1,0,1,0.9164299999999996
Bayern Munich,117,2019,Bundesliga,h,2.88476,1.7324,2.88476,0.216846,"{'att': 195, 'def': 22}","{'att': 435, 'def': 28}",15,0,2,1,2.1713,w,2019-10-26 14:30:00,1,0,0,3,2.667914
Bayern Munich,117,2019,Bundesliga,a,1.08228,2.99704,1.08228,2.99704,"{'att': 225, 'def': 15}","{'att': 428, 'def': 43}",5,7,1,5,0.2945,l,2019-11-02 14:30:00,0,0,1,0,-1.9147600000000002
Bayern Munich,117,2019,Bundesliga,h,3.90951,0.608676,3.90951,0.608676,"{'att': 270, 'def': 27}","{'att': 402, 'def': 22}",8,1,4,0,2.9342,w,2019-11-09 17:30:00,1,0,0,3,3.300834
Bayern Munich,117,2019,Bundesliga,a,3.81728,0.443491,3.81728,0.443491,"{'att': 128, 'def': 23}","{'att': 421, 'def': 13}",14,3,4,0,2.9464,w,2019-11-23 14:30:00,1,0,0,3,3.373789
Bayern Munich,117,2019,Bundesliga,h,2.24624,1.44804,2.24624,1.44804,"{'att': 129, 'def': 28}","{'att': 410, 'def': 20}",16,3,1,2,1.8971,l,2019-11-30 17:30:00,0,0,1,0,0.7981999999999998
Bayern Munich,117,2019,Bundesliga,a,1.74378,1.33084,1.74378,0.573068,"{'att': 184, 'def': 33}","{'att': 319, 'def': 32}",8,2,1,2,1.6604,l,2019-12-07 14:30:00,0,0,1,0,1.170712
Bayern Munich,117,2019,Bundesliga,h,5.83554,0.536081,5.83554,0.536081,"{'att': 150, 'def': 31}","{'att': 397, 'def': 12}",15,3,6,1,2.9933,w,2019-12-14 14:30:00,1,0,0,3,5.299459
Bayern Munich,117,2019,Bundesliga,a,4.41404,2.13825,4.41404,2.13825,"{'att': 154, 'def': 26}","{'att': 359, 'def': 15}",15,8,3,1,2.5429,w,2019-12-18 19:30:00,1,0,0,3,2.2757899999999998
Bayern Munich,117,2019,Bundesliga,h,1.58412,0.889656,1.58412,0.889656,"{'att': 124, 'def': 16}","{'att': 357, 'def': 18}",11,5,2,0,1.9157,w,2019-12-21 14:30:00,1,0,0,3,0.694464
Bayern Munich,117,2019,Bundesliga,a,2.96455,0.82925,2.20678,0.82925,"{'att': 209, 'def': 46}","{'att': 434, 'def': 17}",12,3,4,0,2.7043,w,2020-01-19 14:30:00,1,0,0,3,1.3775300000000001
Bayern Munich,117,2019,Bundesliga,h,3.90217,0.401432,3.90217,0.401432,"{'att': 177, 'def': 21}","{'att': 463, 'def': 13}",10,2,5,0,2.9461,w,2020-01-25 17:30:00,1,0,0,3,3.500738
Bayern Munich,117,2019,Bundesliga,a,2.03579,0.332903,2.03579,0.332903,"{'att': 144, 'def': 21}","{'att': 459, 'def': 24}",9,3,3,1,2.5767,w,2020-02-01 14:30:00,1,0,0,3,1.702887
Bayern Munich,117,2019,Bundesliga,h,1.0745,1.76051,1.0745,1.76051,"{'att': 163, 'def': 20}","{'att': 437, 'def': 27}",6,5,0,0,0.7958000000000001,d,2020-02-09 17:00:00,0,1,0,1,-0.68601
Bayern Munich,117,2019,Bundesliga,a,3.04216,2.03908,3.04216,2.03908,"{'att': 205, 'def': 27}","{'att': 338, 'def': 24}",18,5,4,1,2.0169,w,2020-02-16 14:30:00,1,0,0,3,1.0030800000000002
Bayern Munich,117,2019,Bundesliga,h,3.2444,1.47195,3.2444,1.47195,"{'att': 149, 'def': 22}","{'att': 392, 'def': 12}",19,0,3,2,2.4797,w,2020-02-21 19:30:00,1,0,0,3,1.77245
Bayern Munich,117,2019,Bundesliga,a,4.77962,0.554679,4.77962,0.554679,"{'att': 217, 'def': 25}","{'att': 389, 'def': 17}",13,2,6,0,2.9671000000000003,w,2020-02-29 14:30:00,1,0,0,3,4.224941
Bayern Munich,117,2019,Bundesliga,h,4.05804,1.0173,4.05804,1.0173,"{'att': 120, 'def': 22}","{'att': 442, 'def': 21}",15,3,2,0,2.8626,w,2020-03-08 14:30:00,1,0,0,3,3.04074
