group_type,position,games,goals,shots,time,xG,assists,xA,key_passes,season,team,yellow,red,npg,npxG,xGChain,xGBuildup,player_id,player_name
season,FW,16,1,19,851,2.023974006064236,0,0.33912699669599533,4,2017,Everton,0,0,1,2.023974006064236,2.5330591844394803,1.2261017113924026,518,Yannick Bolasie
season,Sub,13,1,27,1033,1.2203223071992397,4,4.7742172330617905,20,2016,Everton,2,0,1,1.2203223071992397,6.779860287904739,1.3568600192666054,518,Yannick Bolasie
season,Sub,1,0,0,23,0,0,0,0,2016,Crystal Palace,1,0,0,0,0,0,518,Yannick Bolasie
season,Sub,26,5,57,2075,4.791508495807648,3,3.785496551543474,23,2015,Crystal Palace,2,0,5,4.791508495807648,7.913271760568023,1.9284982969984412,518,Yannick Bolasie
season,ML,34,4,69,2788,4.837666932493448,6,5.125395653769374,46,2014,Crystal Palace,3,0,4,4.837666932493448,11.888292540796101,3.093482803553343,518,Yannick Bolasie
