id,isResult,h,a,goals,xG,datetime,forecast,season,league
14116,True,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '1', 'a': '0'}","{'h': '2.35462', 'a': '0.617878'}",2020-09-19 16:00:00,"{'w': '0.8292', 'd': '0.1321', 'l': '0.0387'}",2020,Serie_A
14117,True,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': '0', 'a': '0'}","{'h': '0.910773', 'a': '1.77959'}",2020-09-19 18:45:00,"{'w': '0.1573', 'd': '0.2477', 'l': '0.595'}",2020,Serie_A
14118,True,"{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '0', 'a': '2'}","{'h': '0.160985', 'a': '1.54079'}",2020-09-20 10:30:00,"{'w': '0.013', 'd': '0.1221', 'l': '0.8649'}",2020,Serie_A
14119,True,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '115', 'title': 'Crotone', 'short_title': 'CRO'}","{'h': '4', 'a': '1'}","{'h': '2.23283', 'a': '1.32278'}",2020-09-20 13:00:00,"{'w': '0.6079', 'd': '0.2131', 'l': '0.179'}",2020,Serie_A
14120,True,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': '1', 'a': '1'}","{'h': '2.0285', 'a': '0.95973'}",2020-09-20 16:00:00,"{'w': '0.6318', 'd': '0.2302', 'l': '0.138'}",2020,Serie_A
14121,True,"{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '3', 'a': '0'}","{'h': '2.14288', 'a': '0.606523'}",2020-09-20 18:45:00,"{'w': '0.8007', 'd': '0.1501', 'l': '0.0492'}",2020,Serie_A
14122,True,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '2', 'a': '0'}","{'h': '2.94224', 'a': '0.825483'}",2020-09-21 18:45:00,"{'w': '0.8582', 'd': '0.1002', 'l': '0.0416'}",2020,Serie_A
14123,True,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '2', 'a': '4'}","{'h': '0.773914', 'a': '2.47087'}",2020-09-26 13:00:00,"{'w': '0.0674', 'd': '0.152', 'l': '0.7806'}",2020,Serie_A
14124,True,"{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '0', 'a': '2'}","{'h': '0.91566', 'a': '1.99417'}",2020-09-26 16:00:00,"{'w': '0.1028', 'd': '0.223', 'l': '0.6742'}",2020,Serie_A
14125,True,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '222', 'title': 'Benevento', 'short_title': 'BEN'}","{'h': '2', 'a': '3'}","{'h': '1.36058', 'a': '1.27481'}",2020-09-26 16:00:00,"{'w': '0.3697', 'd': '0.3209', 'l': '0.3094'}",2020,Serie_A
14126,True,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': '4', 'a': '3'}","{'h': '1.69563', 'a': '2.25332'}",2020-09-26 18:45:00,"{'w': '0.2558', 'd': '0.2232', 'l': '0.521'}",2020,Serie_A
14127,True,"{'id': '260', 'title': 'Spezia', 'short_title': 'SPE'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '1', 'a': '4'}","{'h': '1.29116', 'a': '2.6497'}",2020-09-27 10:30:00,"{'w': '0.1167', 'd': '0.1836', 'l': '0.6997'}",2020,Serie_A
14129,True,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '1', 'a': '0'}","{'h': '1.35384', 'a': '2.14756'}",2020-09-27 13:00:00,"{'w': '0.197', 'd': '0.2283', 'l': '0.5747'}",2020,Serie_A
14128,True,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '6', 'a': '0'}","{'h': '2.34102', 'a': '0.265594'}",2020-09-27 16:00:00,"{'w': '0.8783', 'd': '0.103', 'l': '0.0187'}",2020,Serie_A
14130,True,"{'id': '115', 'title': 'Crotone', 'short_title': 'CRO'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '0', 'a': '2'}","{'h': '0.107055', 'a': '2.43073'}",2020-09-27 16:00:00,"{'w': '0.0028', 'd': '0.0404', 'l': '0.9568'}",2020,Serie_A
14131,True,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '2', 'a': '2'}","{'h': '2.81817', 'a': '1.90728'}",2020-09-27 18:45:00,"{'w': '0.6087', 'd': '0.2204', 'l': '0.1709'}",2020,Serie_A
14132,True,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'h': '4', 'a': '1'}","{'h': '2.04715', 'a': '1.2448'}",2020-09-28 18:45:00,"{'w': '0.5758', 'd': '0.231', 'l': '0.1932'}",2020,Serie_A
