team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Aston Villa,71,2014,EPL,,,,,,,,,,,,,
Everton,72,2014,EPL,,,,,,,,,,,,,
Southampton,74,2014,EPL,,,,,,,,,,,,,
Leicester,75,2014,EPL,,,,,,,,,,,,,
West Bromwich Albion,76,2014,EPL,,,,,,,,,,,,,
Sunderland,77,2014,EPL,,,,,,,,,,,,,
Crystal Palace,78,2014,EPL,,,,,,,,,,,,,
Chelsea,80,2014,EPL,,,,,,,,,,,,,
West Ham,81,2014,EPL,,,,,,,,,,,,,
Tottenham,82,2014,EPL,,,,,,,,,,,,,
Arsenal,83,2014,EPL,,,,,,,,,,,,,
Swansea,84,2014,EPL,,,,,,,,,,,,,
Stoke,85,2014,EPL,,,,,,,,,,,,,
Newcastle United,86,2014,EPL,,,,,,,,,,,,,
Liverpool,87,2014,EPL,,,,,,,,,,,,,
Manchester City,88,2014,EPL,,,,,,,,,,,,,
Manchester United,89,2014,EPL,,,,,,,,,,,,,
Hull,91,2014,EPL,,,,,,,,,,,,,
Burnley,92,2014,EPL,,,,,,,,,,,,,
Queens Park Rangers,202,2014,EPL,,,,,,,,,,,,,
