team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Bayern Munich,117,2020,Bundesliga,,,,,,,,,,,,,
Bayer Leverkusen,119,2020,Bundesliga,,,,,,,,,,,,,
Hoffenheim,120,2020,Bundesliga,,,,,,,,,,,,,
Augsburg,121,2020,Bundesliga,,,,,,,,,,,,,
Hertha Berlin,122,2020,Bundesliga,,,,,,,,,,,,,
Werder Bremen,123,2020,Bundesliga,,,,,,,,,,,,,
Schalke 04,124,2020,Bundesliga,,,,,,,,,,,,,
Mainz 05,125,2020,Bundesliga,,,,,,,,,,,,,
Borussia Dortmund,129,2020,Bundesliga,,,,,,,,,,,,,
Borussia M.Gladbach,130,2020,Bundesliga,,,,,,,,,,,,,
Wolfsburg,131,2020,Bundesliga,,,,,,,,,,,,,
Eintracht Frankfurt,132,2020,Bundesliga,,,,,,,,,,,,,
VfB Stuttgart,133,2020,Bundesliga,,,,,,,,,,,,,
FC Cologne,134,2020,Bundesliga,,,,,,,,,,,,,
Freiburg,135,2020,Bundesliga,,,,,,,,,,,,,
RasenBallsport Leipzig,136,2020,Bundesliga,,,,,,,,,,,,,
Union Berlin,240,2020,Bundesliga,,,,,,,,,,,,,
Arminia Bielefeld,262,2020,Bundesliga,,,,,,,,,,,,,
