group_type,position,games,goals,shots,time,xG,assists,xA,key_passes,season,team,yellow,red,npg,npxG,xGChain,xGBuildup,player_id,player_name
season,DC,23,1,4,1651,0.6377484891563654,1,1.017920970916748,3,2019,Tottenham,2,0,1,0.6377484891563654,4.369382468983531,3.7159955482929945,640,Jan Vertonghen
season,DC,22,1,15,1925,1.0099762049503624,0,0.24384960159659386,4,2018,Tottenham,3,1,1,1.0099762049503624,7.900005076080561,7.626768160611391,640,Jan Vertonghen
season,DC,36,0,24,3209,0.8095573652535677,0,1.020745286718011,12,2017,Tottenham,4,0,0,0.8095573652535677,11.754873703233898,11.007562739774585,640,Jan Vertonghen
season,DC,33,0,14,2902,0.5898440014570951,0,0.31422930024564266,7,2016,Tottenham,5,0,0,0.5898440014570951,9.54089672677219,9.190996760502458,640,Jan Vertonghen
season,DC,29,0,11,2596,0.5788122043013573,0,0.3509038984775543,6,2015,Tottenham,5,0,0,0.5788122043013573,7.5232261680066586,7.1232375502586365,640,Jan Vertonghen
season,DC,32,0,13,2807,0.5924338614568114,0,0.07967460062354803,3,2014,Tottenham,6,0,0,0.5924338614568114,5.4297733679413795,5.408010371029377,640,Jan Vertonghen
