group_type,position,games,goals,shots,time,xG,assists,xA,key_passes,season,team,yellow,red,npg,npxG,xGChain,xGBuildup,player_id,player_name
season,Sub,13,1,41,828,3.172263640910387,2,0.9951867936179042,11,2019,Spartak Moscow,3,0,1,3.172263640910387,5.1454952247440815,1.6798096699640155,154,André Schürrle
season,FWR,24,6,55,1670,3.3227698132395744,0,1.9269961081445217,21,2018,Fulham,2,0,6,3.3227698132395744,5.964587397873402,1.6823585079982877,154,André Schürrle
season,FW,18,1,36,1235,3.6087240986526012,4,3.492805738002062,18,2017,Borussia Dortmund,0,0,1,2.8509471230208874,9.042586375027895,3.363537836819887,154,André Schürrle
season,AML,15,2,36,745,3.6931876316666603,2,1.8279478028416634,17,2016,Borussia Dortmund,3,0,1,2.9354106560349464,5.189754284918308,1.468034990131855,154,André Schürrle
season,Sub,29,9,69,1911,7.416946612298489,3,3.1638486683368683,20,2015,Wolfsburg,5,0,9,7.416946612298489,13.634378699585795,4.776831839233637,154,André Schürrle
season,AML,14,1,25,661,3.279291056096554,2,1.1601604670286179,5,2014,Wolfsburg,1,0,1,3.279291056096554,5.16330124810338,1.203311588615179,154,André Schürrle
season,AMR,14,3,21,428,3.2491424027830362,0,0.5976689020171762,6,2014,Chelsea,2,0,3,3.2491424027830362,4.820195187814534,1.4035241901874542,154,André Schürrle
