group_type,position,games,goals,shots,time,xG,assists,xA,key_passes,season,team,yellow,red,npg,npxG,xGChain,xGBuildup,player_id,player_name
season,Sub,10,1,25,517,2.1407179944217205,0,0.3078578971326351,6,2022,Manchester United,2,0,1,2.1407179944217205,2.957992848008871,0.9433596841990948,2371,Cristiano Ronaldo
season,FW,30,18,110,2468,17.212831899523735,3,4.424962695688009,26,2021,Manchester United,8,0,15,14.929328348487616,23.253704860806465,7.720637893304229,2371,Cristiano Ronaldo
season,Sub,1,0,1,28,0.20496900379657745,0,0.03537699952721596,1,2021,Juventus,1,0,0,0.20496900379657745,0.05131009966135025,0.015933100134134293,2371,Cristiano Ronaldo
season,FW,33,29,167,2807,29.838080540299416,3,3.854639131575823,36,2020,Juventus,3,0,23,23.747807636857033,28.635408580303192,8.915713196620345,2371,Cristiano Ronaldo
season,FWL,33,31,208,2920,29.431685788556933,5,6.067226376384497,51,2019,Juventus,3,0,19,19.534961802884936,26.553606890141964,7.224641811102629,2371,Cristiano Ronaldo
season,FW,31,21,175,2692,23.324054691940546,8,5.193874748423696,48,2018,Juventus,3,0,16,18.756297651678324,21.854163620620966,7.177340604364872,2371,Cristiano Ronaldo
season,FW,27,26,178,2304,26.999309986829758,5,5.524839024990797,40,2017,Real Madrid,1,0,23,24.026196867227554,31.62383684515953,9.471848987042904,2371,Cristiano Ronaldo
season,FWL,29,25,162,2546,25.413731053471565,6,4.59103300049901,31,2016,Real Madrid,4,0,19,19.467632994055748,29.57457485795021,8.661090549081564,2371,Cristiano Ronaldo
season,AML,36,35,227,3186,35.588996052742004,11,8.606400065124035,51,2015,Real Madrid,3,0,29,28.899506971240044,40.81803520023823,9.863002741709352,2371,Cristiano Ronaldo
season,FWL,35,48,225,3103,39.30874598119408,16,13.600629400461912,76,2014,Real Madrid,5,1,38,30.38968110177666,43.60805014614016,7.520235439762473,2371,Cristiano Ronaldo
