id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,player_name
594135,87,SavedShot,0.9690000152587891,0.5820000076293945,0.24652090668678284,Riccardo Calafiori,h,8129,FromCorner,2024,Head,26655,Arsenal,Leicester,4,2,2024-09-28 14:00:00,Bukayo Saka,Cross,Riccardo Calafiori
604417,48,MissedShots,0.9780000305175781,0.3940000152587891,0.013000396080315113,Riccardo Calafiori,a,8129,FromCorner,2024,Head,26730,West Ham,Arsenal,2,5,2024-11-30 17:30:00,Bukayo Saka,Aerial,Riccardo Calafiori
609785,11,MissedShots,0.8669999694824219,0.585,0.015383098274469376,Riccardo Calafiori,a,8129,OpenPlay,2024,Head,26783,Brentford,Arsenal,1,3,2025-01-01 17:30:00,Jurriën Timber,Cross,Riccardo Calafiori
613352,73,Goal,0.8919999694824219,0.6519999694824219,0.062024105340242386,Riccardo Calafiori,a,8129,OpenPlay,2024,LeftFoot,26831,Wolverhampton Wanderers,Arsenal,0,1,2025-01-25 15:00:00,,None,Riccardo Calafiori
618401,21,SavedShot,0.8130000305175781,0.6090000152587891,0.0474473312497139,Riccardo Calafiori,h,8129,OpenPlay,2024,LeftFoot,26853,Arsenal,West Ham,0,1,2025-02-22 15:00:00,Mikel Merino,Pass,Riccardo Calafiori
618406,34,BlockedShot,0.8569999694824219,0.5990000152587891,0.027638478204607964,Riccardo Calafiori,h,8129,OpenPlay,2024,LeftFoot,26853,Arsenal,West Ham,0,1,2025-02-22 15:00:00,,Aerial,Riccardo Calafiori
619552,22,ShotOnPost,0.9059999847412109,0.685,0.06043068692088127,Riccardo Calafiori,a,8129,OpenPlay,2024,RightFoot,26864,Nottingham Forest,Arsenal,0,0,2025-02-26 19:30:00,Leandro Trossard,Pass,Riccardo Calafiori
638225,12,Goal,0.9940000152587891,0.49,0.8442546129226685,Riccardo Calafiori,a,8129,FromCorner,2025,Head,28786,Manchester United,Arsenal,0,1,2025-08-17 15:30:00,,None,Riccardo Calafiori
638954,50,BlockedShot,0.7909999847412109,0.585,0.05860637128353119,Riccardo Calafiori,h,8129,OpenPlay,2025,RightFoot,28793,Arsenal,Leeds,5,0,2025-08-23 16:30:00,Bukayo Saka,TakeOn,Riccardo Calafiori
638957,55,BlockedShot,0.9580000305175781,0.5170000076293946,0.12197952717542648,Riccardo Calafiori,h,8129,FromCorner,2025,RightFoot,28793,Arsenal,Leeds,5,0,2025-08-23 16:30:00,Jurriën Timber,Goal,Riccardo Calafiori
638960,61,MissedShots,0.8530000305175781,0.5520000076293945,0.06429559737443924,Riccardo Calafiori,h,8129,OpenPlay,2025,RightFoot,28793,Arsenal,Leeds,5,0,2025-08-23 16:30:00,,Rebound,Riccardo Calafiori
640945,38,BlockedShot,0.865999984741211,0.67,0.041967615485191345,Riccardo Calafiori,a,8129,OpenPlay,2025,RightFoot,28806,Liverpool,Arsenal,1,0,2025-08-31 15:30:00,,Rebound,Riccardo Calafiori
640946,39,MissedShots,0.91,0.5320000076293945,0.02815292961895466,Riccardo Calafiori,a,8129,FromCorner,2025,Head,28806,Liverpool,Arsenal,1,0,2025-08-31 15:30:00,Declan Rice,Aerial,Riccardo Calafiori
640949,62,BlockedShot,0.8159999847412109,0.5179999923706055,0.05862429365515709,Riccardo Calafiori,a,8129,OpenPlay,2025,LeftFoot,28806,Liverpool,Arsenal,1,0,2025-08-31 15:30:00,Jurriën Timber,Pass,Riccardo Calafiori
643857,43,MissedShots,0.835999984741211,0.6580000305175782,0.03855420649051666,Riccardo Calafiori,h,8129,OpenPlay,2025,LeftFoot,28827,Arsenal,Manchester City,1,1,2025-09-21 15:30:00,,None,Riccardo Calafiori
643865,75,MissedShots,0.9169999694824219,0.580999984741211,0.027703458443284035,Riccardo Calafiori,h,8129,OpenPlay,2025,Head,28827,Arsenal,Manchester City,1,1,2025-09-21 15:30:00,Bukayo Saka,Aerial,Riccardo Calafiori
643866,80,MissedShots,0.7959999847412109,0.6890000152587891,0.02390633150935173,Riccardo Calafiori,h,8129,OpenPlay,2025,RightFoot,28827,Arsenal,Manchester City,1,1,2025-09-21 15:30:00,Declan Rice,Pass,Riccardo Calafiori
645461,23,MissedShots,0.945,0.425,0.06120205298066139,Riccardo Calafiori,a,8129,SetPiece,2025,Head,28836,Newcastle United,Arsenal,1,2,2025-09-28 15:30:00,Viktor Gyokeres,HeadPass,Riccardo Calafiori
645468,48,MissedShots,0.8830000305175781,0.85,0.011338875629007816,Riccardo Calafiori,a,8129,OpenPlay,2025,LeftFoot,28836,Newcastle United,Arsenal,1,2,2025-09-28 15:30:00,Martín Zubimendi,Chipped,Riccardo Calafiori
646129,9,BlockedShot,0.96,0.5729999923706055,0.06606438010931015,Riccardo Calafiori,h,8129,SetPiece,2025,Head,28839,Arsenal,West Ham,2,0,2025-10-04 14:00:00,Declan Rice,Aerial,Riccardo Calafiori
646139,49,ShotOnPost,0.8080000305175781,0.47200000762939454,0.08314328640699387,Riccardo Calafiori,h,8129,OpenPlay,2025,RightFoot,28839,Arsenal,West Ham,2,0,2025-10-04 14:00:00,,TakeOn,Riccardo Calafiori
647852,34,BlockedShot,0.8440000152587891,0.715,0.032443899661302567,Riccardo Calafiori,a,8129,OpenPlay,2025,RightFoot,28851,Fulham,Arsenal,0,1,2025-10-18 16:30:00,Martín Zubimendi,Pass,Riccardo Calafiori
647856,37,MissedShots,0.8880000305175781,0.6680000305175782,0.04022448509931564,Riccardo Calafiori,a,8129,OpenPlay,2025,LeftFoot,28851,Fulham,Arsenal,0,1,2025-10-18 16:30:00,Bukayo Saka,Cross,Riccardo Calafiori
649490,70,BlockedShot,0.8,0.49599998474121093,0.060570258647203445,Riccardo Calafiori,h,8129,OpenPlay,2025,RightFoot,28859,Arsenal,Crystal Palace,1,0,2025-10-26 13:00:00,Cristhian Mosquera,BallTouch,Riccardo Calafiori
650832,20,SavedShot,0.93,0.6769999694824219,0.08583354204893112,Riccardo Calafiori,a,8129,OpenPlay,2025,LeftFoot,28869,Burnley,Arsenal,0,2,2025-11-01 15:00:00,Leandro Trossard,Pass,Riccardo Calafiori
652441,96,SavedShot,0.9680000305175781,0.57,0.39277902245521545,Riccardo Calafiori,a,8129,OpenPlay,2025,Head,28885,Sunderland,Arsenal,2,2,2025-11-08 17:30:00,Bukayo Saka,Cross,Riccardo Calafiori
654366,53,MissedShots,0.9119999694824219,0.4759999847412109,0.11291363090276718,Riccardo Calafiori,h,8129,SetPiece,2025,Head,28889,Arsenal,Tottenham,4,1,2025-11-23 16:30:00,Declan Rice,Cross,Riccardo Calafiori
656221,65,SavedShot,0.8080000305175781,0.47900001525878905,0.038091130554676056,Riccardo Calafiori,h,8129,OpenPlay,2025,RightFoot,28909,Arsenal,Brentford,2,0,2025-12-03 19:30:00,Declan Rice,TakeOn,Riccardo Calafiori
