team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Aston Villa,71,2015,EPL,,,,,,,,,,,,,
Everton,72,2015,EPL,,,,,,,,,,,,,
Bournemouth,73,2015,EPL,,,,,,,,,,,,,
Southampton,74,2015,EPL,,,,,,,,,,,,,
Leicester,75,2015,EPL,,,,,,,,,,,,,
West Bromwich Albion,76,2015,EPL,,,,,,,,,,,,,
Sunderland,77,2015,EPL,,,,,,,,,,,,,
Crystal Palace,78,2015,EPL,,,,,,,,,,,,,
Norwich,79,2015,EPL,,,,,,,,,,,,,
Chelsea,80,2015,EPL,,,,,,,,,,,,,
West Ham,81,2015,EPL,,,,,,,,,,,,,
Tottenham,82,2015,EPL,,,,,,,,,,,,,
Arsenal,83,2015,EPL,,,,,,,,,,,,,
Swansea,84,2015,EPL,,,,,,,,,,,,,
Stoke,85,2015,EPL,,,,,,,,,,,,,
Newcastle United,86,2015,EPL,,,,,,,,,,,,,
Liverpool,87,2015,EPL,,,,,,,,,,,,,
Manchester City,88,2015,EPL,,,,,,,,,,,,,
Manchester United,89,2015,EPL,,,,,,,,,,,,,
Watford,90,2015,EPL,,,,,,,,,,,,,
