group_type,position,games,goals,shots,time,xG,assists,xA,key_passes,season,team,yellow,red,npg,npxG,xGChain,xGBuildup,player_id,player_name
season,FW,30,1,36,1084,1.660724493674934,1,2.020382081158459,17,2024,Montpellier,4,0,1,1.660724493674934,5.352683451026678,2.310867856256664,734,Wahbi Khazri
season,AML,25,1,44,1151,4.432910308241844,0,1.322423979640007,10,2023,Montpellier,6,0,1,4.432910308241844,6.197288694791496,1.4841998033225536,734,Wahbi Khazri
season,AMC,27,4,38,1660,3.7990786684677005,1,1.6256979517638683,19,2022,Montpellier,5,1,4,3.7990786684677005,7.264148943126202,3.2441653721034527,734,Wahbi Khazri
season,AMC,30,10,72,2258,7.494059192948043,0,3.255455811508,32,2021,Saint-Etienne,6,0,6,4.453681676648557,7.8746081702411175,2.155415710993111,734,Wahbi Khazri
season,Sub,22,7,32,1209,5.212773447856307,1,1.3759018061682582,20,2020,Saint-Etienne,5,1,4,2.9324842002242804,4.466800130903721,1.2037274232134223,734,Wahbi Khazri
season,FW,16,3,45,1168,3.6128535298630595,2,1.448488294146955,19,2019,Saint-Etienne,4,0,2,2.8527575759217143,5.14601272251457,1.451827016659081,734,Wahbi Khazri
season,AMC,32,13,94,2833,11.603885814547539,6,6.186066493391991,69,2018,Saint-Etienne,10,1,9,8.563499204814434,15.514618135988712,4.981869427487254,734,Wahbi Khazri
season,FW,24,9,65,1941,7.276469053700566,2,3.8607458993792534,33,2017,Rennes,7,1,6,4.236088464036584,8.30859662219882,2.4734625928103924,734,Wahbi Khazri
season,Sub,21,1,23,824,1.1389319077134132,0,1.9164743106812239,21,2016,Sunderland,6,0,1,1.1389319077134132,2.0931110847741365,0.4761797972023487,734,Wahbi Khazri
season,ML,20,5,40,1609,5.326760932803154,7,4.849464971572161,54,2015,Bordeaux,7,0,5,4.566668912768364,7.437929091975093,1.6941337957978249,734,Wahbi Khazri
season,ML,14,2,24,1087,0.8625685963779688,1,2.2329065892845392,27,2015,Sunderland,3,0,2,0.8625685963779688,2.4898463152348995,1.3282623123377562,734,Wahbi Khazri
season,MC,32,9,76,2395,7.465542929247022,5,4.779084065929055,48,2014,Bordeaux,8,0,7,5.945352973416448,11.004282725974917,4.299084668979049,734,Wahbi Khazri
