group_type,position,games,goals,shots,time,xG,assists,xA,key_passes,season,team,yellow,red,npg,npxG,xGChain,xGBuildup,player_id,player_name
season,Sub,2,0,0,75,0,0,0.06846939772367477,1,2024,Crystal Palace,1,0,0,0,0.10464299470186234,0.10464299470186234,510,Joel Ward
season,DR,26,0,10,1985,0.7851169966161251,1,0.09658221155405045,2,2023,Crystal Palace,4,0,0,0.7851169966161251,5.3411974757909775,5.244141489267349,510,Joel Ward
season,DC,28,1,7,2251,1.4655719939619303,0,0.3378884494304657,10,2022,Crystal Palace,6,0,1,1.4655719939619303,3.9748681094497442,3.709601128473878,510,Joel Ward
season,DR,28,0,10,2487,0.3405505996197462,0,0.3251229990273714,6,2021,Crystal Palace,8,0,0,0.3405505996197462,8.686228374019265,8.220768835395575,510,Joel Ward
season,DR,26,0,2,2252,0.05171130131930113,1,0.47300298884510994,7,2020,Crystal Palace,5,0,0,0.05171130131930113,3.1162296161055565,2.889396835118532,510,Joel Ward
season,DR,29,0,5,2383,0.19882619939744473,0,0.2505737002938986,5,2019,Crystal Palace,4,0,0,0.19882619939744473,2.5462682992219925,2.205836199223995,510,Joel Ward
season,Sub,7,1,2,550,0.9176620244979858,0,0.11860300041735172,2,2018,Crystal Palace,1,0,1,0.9176620244979858,1.6731309965252876,0.9782968014478683,510,Joel Ward
season,DMR,19,0,5,1621,0.1989612989127636,1,0.878702076151967,8,2017,Crystal Palace,4,0,0,0.1989612989127636,3.602487199008465,2.804774299263954,510,Joel Ward
season,DR,38,0,14,3420,0.9386279787868261,1,0.8645517863333225,11,2016,Crystal Palace,7,0,0,0.9386279787868261,4.739611620083451,3.5180703196674585,510,Joel Ward
season,DR,30,2,17,2694,1.150739767588675,1,1.8000704925507307,13,2015,Crystal Palace,4,0,2,1.150739767588675,7.4030570443719625,5.379452791064978,510,Joel Ward
season,DL,37,1,12,3330,0.3118089553900063,0,0.8839997025206685,22,2014,Crystal Palace,4,0,1,0.3118089553900063,2.6755148847587407,2.126584256067872,510,Joel Ward
