group_type,position,games,goals,shots,time,xG,assists,xA,key_passes,season,team,yellow,red,npg,npxG,xGChain,xGBuildup,player_id,player_name
season,Sub,8,1,2,152,0.13904428482055664,0,0.05573514848947525,2,2025,Getafe,0,0,1,0.13904428482055664,0.17780200019478798,0.05972769297659397,897,Juanmi
season,FW,13,0,13,701,3.158654350787401,0,0.317571472376585,4,2024,Getafe,2,0,0,3.158654350787401,4.860637336969376,1.5414727255702019,897,Juanmi
season,AML,11,0,6,213,0.5288827810436487,0,0.5176039058715105,4,2024,Real Betis,2,0,0,0.5288827810436487,1.1500731110572815,0.19168574176728725,897,Juanmi
season,Sub,17,3,14,902,2.3942705281078815,1,1.3814822752028704,11,2023,Cadiz,3,0,3,2.3942705281078815,3.8427638644352555,0.4586437502875924,897,Juanmi
season,AML,22,4,19,926,4.853912426158786,0,1.2066011186689138,4,2022,Real Betis,3,0,4,4.853912426158786,7.613409383222461,2.110602483153343,897,Juanmi
season,Sub,33,17,55,2183,10.187626414000988,4,2.7290982231497765,19,2021,Real Betis,5,0,17,10.187626414000988,14.672116911038756,3.426418883726001,897,Juanmi
season,Sub,16,2,14,600,3.075910694897175,0,0.04561480134725571,2,2020,Real Betis,1,0,2,3.075910694897175,2.599301964044571,0.8825420113280416,897,Juanmi
season,Sub,8,1,7,247,1.2556700110435486,0,0.05292709916830063,1,2019,Real Betis,0,1,1,1.2556700110435486,0.638905611820519,0.12069750297814608,897,Juanmi
season,Sub,30,5,43,1517,6.0725245121866465,2,1.5122699234634638,10,2018,Real Sociedad,3,1,5,6.0725245121866465,8.06476366519928,0.8729610946029425,897,Juanmi
season,Sub,30,8,37,1490,5.579086425714195,2,1.0911628808826208,9,2017,Real Sociedad,3,0,8,5.579086425714195,6.438392062671483,1.9055835930630565,897,Juanmi
season,FW,35,11,48,1836,7.297483175992966,0,0.7826561946421862,7,2016,Real Sociedad,6,1,11,7.297483175992966,7.8630614429712296,1.2011780962347984,897,Juanmi
season,Sub,12,0,5,140,0.36240530014038086,0,0.22366949450224638,3,2015,Southampton,0,0,0,0.36240530014038086,0.985959991812706,0.39988499879837036,897,Juanmi
season,AML,34,8,37,2248,7.488385254517198,0,2.241188321262598,22,2014,Malaga,4,0,8,7.488385254517198,9.958866827189922,1.3227483909577131,897,Juanmi
