team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Everton,72,2018,EPL,,,,,,,,,,,,,
Bournemouth,73,2018,EPL,,,,,,,,,,,,,
Southampton,74,2018,EPL,,,,,,,,,,,,,
Leicester,75,2018,EPL,,,,,,,,,,,,,
Crystal Palace,78,2018,EPL,,,,,,,,,,,,,
Chelsea,80,2018,EPL,,,,,,,,,,,,,
West Ham,81,2018,EPL,,,,,,,,,,,,,
Tottenham,82,2018,EPL,,,,,,,,,,,,,
Arsenal,83,2018,EPL,,,,,,,,,,,,,
Newcastle United,86,2018,EPL,,,,,,,,,,,,,
Liverpool,87,2018,EPL,,,,,,,,,,,,,
Manchester City,88,2018,EPL,,,,,,,,,,,,,
Manchester United,89,2018,EPL,,,,,,,,,,,,,
Watford,90,2018,EPL,,,,,,,,,,,,,
Burnley,92,2018,EPL,,,,,,,,,,,,,
Huddersfield,219,2018,EPL,,,,,,,,,,,,,
Brighton,220,2018,EPL,,,,,,,,,,,,,
Cardiff,227,2018,EPL,,,,,,,,,,,,,
Fulham,228,2018,EPL,,,,,,,,,,,,,
Wolverhampton Wanderers,229,2018,EPL,,,,,,,,,,,,,
