team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Lille,160,2023,Ligue_1,,,,,,,,,,,,,
Paris Saint Germain,161,2023,Ligue_1,,,,,,,,,,,,,
Rennes,163,2023,Ligue_1,,,,,,,,,,,,,
Marseille,164,2023,Ligue_1,,,,,,,,,,,,,
Montpellier,166,2023,Ligue_1,,,,,,,,,,,,,
Nantes,168,2023,Ligue_1,,,,,,,,,,,,,
Nice,170,2023,Ligue_1,,,,,,,,,,,,,
Monaco,171,2023,Ligue_1,,,,,,,,,,,,,
Toulouse,174,2023,Ligue_1,,,,,,,,,,,,,
Reims,177,2023,Ligue_1,,,,,,,,,,,,,
Lyon,178,2023,Ligue_1,,,,,,,,,,,,,
Lorient,179,2023,Ligue_1,,,,,,,,,,,,,
Metz,180,2023,Ligue_1,,,,,,,,,,,,,
Lens,210,2023,Ligue_1,,,,,,,,,,,,,
Strasbourg,225,2023,Ligue_1,,,,,,,,,,,,,
Brest,241,2023,Ligue_1,,,,,,,,,,,,,
Clermont Foot,270,2023,Ligue_1,,,,,,,,,,,,,
Le Havre,282,2023,Ligue_1,,,,,,,,,,,,,
