team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Bayern Munich,117,2023,Bundesliga,,,,,,,,,,,,,
Bayer Leverkusen,119,2023,Bundesliga,,,,,,,,,,,,,
Hoffenheim,120,2023,Bundesliga,,,,,,,,,,,,,
Augsburg,121,2023,Bundesliga,,,,,,,,,,,,,
Werder Bremen,123,2023,Bundesliga,,,,,,,,,,,,,
Mainz 05,125,2023,Bundesliga,,,,,,,,,,,,,
Darmstadt,127,2023,Bundesliga,,,,,,,,,,,,,
Borussia Dortmund,129,2023,Bundesliga,,,,,,,,,,,,,
Borussia M.Gladbach,130,2023,Bundesliga,,,,,,,,,,,,,
Wolfsburg,131,2023,Bundesliga,,,,,,,,,,,,,
Eintracht Frankfurt,132,2023,Bundesliga,,,,,,,,,,,,,
VfB Stuttgart,133,2023,Bundesliga,,,,,,,,,,,,,
FC Cologne,134,2023,Bundesliga,,,,,,,,,,,,,
Freiburg,135,2023,Bundesliga,,,,,,,,,,,,,
RasenBallsport Leipzig,136,2023,Bundesliga,,,,,,,,,,,,,
Union Berlin,240,2023,Bundesliga,,,,,,,,,,,,,
Bochum,268,2023,Bundesliga,,,,,,,,,,,,,
FC Heidenheim,280,2023,Bundesliga,,,,,,,,,,,,,
