group_type,position,games,goals,shots,time,xG,assists,xA,key_passes,season,team,yellow,red,npg,npxG,xGChain,xGBuildup,player_id,player_name
season,Sub,4,0,1,52,0.0267488993704319,0,0.08464120328426361,2,2022,Bournemouth,0,0,0,0.0267488993704319,0.2599279023706913,0.21947290375828743,463,Junior Stanislas
season,ML,15,3,17,706,1.8708659801632166,0,0.9225293016061187,12,2019,Bournemouth,1,0,2,1.1096971053630114,2.2527448143810034,1.5802903287112713,463,Junior Stanislas
season,Sub,23,2,34,1016,3.1044174432754517,3,2.4888686761260033,15,2018,Bournemouth,1,0,1,2.343248426914215,5.237211510539055,2.5536739006638527,463,Junior Stanislas
season,ML,19,5,44,1313,3.8318000826984644,2,1.9147699438035488,23,2017,Bournemouth,1,0,4,3.070631066337228,5.26417401432991,1.8925351649522781,463,Junior Stanislas
season,MR,21,7,43,1489,4.84797247685492,5,3.8548494363203645,22,2016,Bournemouth,1,0,5,3.3256304506212473,7.382436146959662,4.268493261188269,463,Junior Stanislas
season,MR,21,3,44,1448,2.733297389000654,2,3.781087612733245,34,2015,Bournemouth,1,0,3,2.733297389000654,7.688769919797778,2.5720488391816616,463,Junior Stanislas
