group_type,position,games,goals,shots,time,xG,assists,xA,key_passes,season,team,yellow,red,npg,npxG,xGChain,xGBuildup,player_id,player_name
season,ML,20,0,5,1613,0.29087650403380394,2,1.4190899282693863,7,2025,Strasbourg,4,0,0,0.29087650403380394,7.4669726844877005,6.263752227649093,782,Ben Chilwell
season,Sub,8,1,5,239,0.2562433071434498,0,0.8998954109847546,5,2024,Crystal Palace,1,0,1,0.2562433071434498,1.1016745641827583,0.7247382774949074,782,Ben Chilwell
season,DML,13,0,12,771,1.2212005220353603,1,1.793320189230144,14,2023,Chelsea,5,0,0,1.2212005220353603,3.850440725684166,1.9574524844065309,782,Ben Chilwell
season,DML,23,2,16,1418,1.465110638178885,2,1.9936782559379935,21,2022,Chelsea,3,0,2,1.465110638178885,4.494038670323789,3.5327052902430296,782,Ben Chilwell
season,DML,7,3,13,541,1.298325777053833,1,0.8330149054527283,10,2021,Chelsea,0,0,3,1.298325777053833,4.463375482708216,3.4082015678286552,782,Ben Chilwell
season,DL,27,3,27,2296,2.984890672378242,5,2.4556783102452755,30,2020,Chelsea,3,0,3,2.984890672378242,11.330960918217897,8.155131109058857,782,Ben Chilwell
season,DL,27,3,16,2382,1.0977275986224413,3,3.5355278309434652,33,2019,Leicester,3,0,3,1.0977275986224413,10.08815387263894,8.040449786931276,782,Ben Chilwell
season,DL,36,0,22,3240,0.972871252335608,4,3.073072262108326,45,2018,Leicester,4,0,0,0.972871252335608,9.096351135522127,7.060785120353103,782,Ben Chilwell
season,DL,24,0,6,1855,0.22371220123022795,2,2.6106312330812216,20,2017,Leicester,1,1,0,0.22371220123022795,7.099950015544891,4.937577690929174,782,Ben Chilwell
season,DL,12,1,7,686,0.668289303779602,0,0.3706484157592058,2,2016,Leicester,2,0,1,0.668289303779602,2.7422422990202904,1.7279787100851536,782,Ben Chilwell
