team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Verona,94,2019,Serie_A,,,,,,,,,,,,,
Roma,95,2019,Serie_A,,,,,,,,,,,,,
Lazio,96,2019,Serie_A,,,,,,,,,,,,,
Bologna,97,2019,Serie_A,,,,,,,,,,,,,
Juventus,98,2019,Serie_A,,,,,,,,,,,,,
Udinese,99,2019,Serie_A,,,,,,,,,,,,,
Genoa,101,2019,Serie_A,,,,,,,,,,,,,
Sampdoria,102,2019,Serie_A,,,,,,,,,,,,,
Sassuolo,104,2019,Serie_A,,,,,,,,,,,,,
Napoli,105,2019,Serie_A,,,,,,,,,,,,,
Inter,106,2019,Serie_A,,,,,,,,,,,,,
Atalanta,107,2019,Serie_A,,,,,,,,,,,,,
Fiorentina,110,2019,Serie_A,,,,,,,,,,,,,
AC Milan,111,2019,Serie_A,,,,,,,,,,,,,
Torino,113,2019,Serie_A,,,,,,,,,,,,,
Cagliari,116,2019,Serie_A,,,,,,,,,,,,,
SPAL 2013,221,2019,Serie_A,,,,,,,,,,,,,
Parma Calcio 1913,230,2019,Serie_A,,,,,,,,,,,,,
Brescia,242,2019,Serie_A,,,,,,,,,,,,,
Lecce,243,2019,Serie_A,,,,,,,,,,,,,
