team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Everton,72,2016,EPL,,,,,,,,,,,,,
Bournemouth,73,2016,EPL,,,,,,,,,,,,,
Southampton,74,2016,EPL,,,,,,,,,,,,,
Leicester,75,2016,EPL,,,,,,,,,,,,,
West Bromwich Albion,76,2016,EPL,,,,,,,,,,,,,
Sunderland,77,2016,EPL,,,,,,,,,,,,,
Crystal Palace,78,2016,EPL,,,,,,,,,,,,,
Chelsea,80,2016,EPL,,,,,,,,,,,,,
West Ham,81,2016,EPL,,,,,,,,,,,,,
Tottenham,82,2016,EPL,,,,,,,,,,,,,
Arsenal,83,2016,EPL,,,,,,,,,,,,,
Swansea,84,2016,EPL,,,,,,,,,,,,,
Stoke,85,2016,EPL,,,,,,,,,,,,,
Liverpool,87,2016,EPL,,,,,,,,,,,,,
Manchester City,88,2016,EPL,,,,,,,,,,,,,
Manchester United,89,2016,EPL,,,,,,,,,,,,,
Watford,90,2016,EPL,,,,,,,,,,,,,
Hull,91,2016,EPL,,,,,,,,,,,,,
Burnley,92,2016,EPL,,,,,,,,,,,,,
Middlesbrough,93,2016,EPL,,,,,,,,,,,,,
