id,isResult,h,a,goals,xG,datetime,forecast,season,league
480,True,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '0'}","{'h': '1.69288', 'a': '0.39341'}",2016-08-21 19:00:00,"{'w': '0.7472', 'd': '0.1962', 'l': '0.0566'}",2016,EPL
481,True,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '1'}","{'h': '0.590511', 'a': '1.92569'}",2016-08-27 15:30:00,"{'w': '0.0672', 'd': '0.1704', 'l': '0.7624'}",2016,EPL
482,True,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '1', 'a': '3'}","{'h': '1.07775', 'a': '2.03271'}",2016-08-27 18:00:00,"{'w': '0.1375', 'd': '0.2184', 'l': '0.6441'}",2016,EPL
483,True,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '2', 'a': '1'}","{'h': '2.47977', 'a': '0.32818'}",2016-08-27 18:00:00,"{'w': '0.9129', 'd': '0.0717', 'l': '0.0154'}",2016,EPL
484,True,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '1', 'a': '1'}","{'h': '0.613743', 'a': '1.39142'}",2016-08-27 18:00:00,"{'w': '0.1211', 'd': '0.2572', 'l': '0.6217'}",2016,EPL
485,True,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '3', 'a': '0'}","{'h': '2.65838', 'a': '0.18449'}",2016-08-27 18:00:00,"{'w': '0.9265', 'd': '0.0623', 'l': '0.0112'}",2016,EPL
486,True,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '1'}","{'h': '2.659', 'a': '0.974014'}",2016-08-27 18:00:00,"{'w': '0.7804', 'd': '0.1446', 'l': '0.075'}",2016,EPL
487,True,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '1', 'a': '0'}","{'h': '2.31835', 'a': '0.187415'}",2016-08-27 18:00:00,"{'w': '0.9114', 'd': '0.0778', 'l': '0.0108'}",2016,EPL
488,True,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '0', 'a': '1'}","{'h': '0.268815', 'a': '2.47208'}",2016-08-27 20:30:00,"{'w': '0.0115', 'd': '0.0622', 'l': '0.9263'}",2016,EPL
489,True,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'h': '0', 'a': '0'}","{'h': '0.696845', 'a': '0.396816'}",2016-08-28 16:30:00,"{'w': '0.383', 'd': '0.4435', 'l': '0.1735'}",2016,EPL
