id,isResult,h,a,goals,xG,datetime,forecast,season,league
17516,True,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '1', 'a': '1'}","{'h': '1.98777', 'a': '2.91794'}",2021-08-13 18:30:00,"{'w': '0.2013', 'd': '0.2047', 'l': '0.594'}",2021,Bundesliga
17517,True,"{'id': '262', 'title': 'Arminia Bielefeld', 'short_title': 'ARM'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '0', 'a': '0'}","{'h': '0.575032', 'a': '1.63663'}",2021-08-14 13:30:00,"{'w': '0.0951', 'd': '0.2311', 'l': '0.6738'}",2021,Bundesliga
17518,True,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '0', 'a': '4'}","{'h': '0.734658', 'a': '3.44423'}",2021-08-14 13:30:00,"{'w': '0.013', 'd': '0.0473', 'l': '0.9397'}",2021,Bundesliga
17519,True,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '267', 'title': 'Greuther Fuerth', 'short_title': 'GRE'}","{'h': '5', 'a': '1'}","{'h': '4.25968', 'a': '1.31466'}",2021-08-14 13:30:00,"{'w': '0.9015', 'd': '0.0702', 'l': '0.0283'}",2021,Bundesliga
17520,True,"{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '1', 'a': '1'}","{'h': '0.443841', 'a': '0.7943'}",2021-08-14 13:30:00,"{'w': '0.1935', 'd': '0.3974', 'l': '0.4091'}",2021,Bundesliga
17521,True,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'h': '1', 'a': '0'}","{'h': '2.78774', 'a': '0.297792'}",2021-08-14 13:30:00,"{'w': '0.9314', 'd': '0.0571', 'l': '0.0115'}",2021,Bundesliga
17522,True,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '5', 'a': '2'}","{'h': '2.83799', 'a': '1.36709'}",2021-08-14 16:30:00,"{'w': '0.7174', 'd': '0.1696', 'l': '0.113'}",2021,Bundesliga
17523,True,"{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '1', 'a': '0'}","{'h': '1.27109', 'a': '0.841814'}",2021-08-15 13:30:00,"{'w': '0.5059', 'd': '0.3185', 'l': '0.1756'}",2021,Bundesliga
17524,True,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '3', 'a': '1'}","{'h': '1.62567', 'a': '2.1078'}",2021-08-15 15:30:00,"{'w': '0.2301', 'd': '0.2611', 'l': '0.5088'}",2021,Bundesliga
17525,True,"{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '4', 'a': '0'}","{'h': '2.86627', 'a': '0.958579'}",2021-08-20 18:30:00,"{'w': '0.8235', 'd': '0.1257', 'l': '0.0508'}",2021,Bundesliga
17526,True,"{'id': '267', 'title': 'Greuther Fuerth', 'short_title': 'GRE'}","{'id': '262', 'title': 'Arminia Bielefeld', 'short_title': 'ARM'}","{'h': '1', 'a': '1'}","{'h': '2.57735', 'a': '0.763691'}",2021-08-21 13:30:00,"{'w': '0.8178', 'd': '0.1317', 'l': '0.0505'}",2021,Bundesliga
17527,True,"{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '2', 'a': '0'}","{'h': '1.05301', 'a': '0.817413'}",2021-08-21 13:30:00,"{'w': '0.4048', 'd': '0.34', 'l': '0.2552'}",2021,Bundesliga
17528,True,"{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '1', 'a': '2'}","{'h': '1.17401', 'a': '0.558009'}",2021-08-21 13:30:00,"{'w': '0.5709', 'd': '0.2922', 'l': '0.1369'}",2021,Bundesliga
17529,True,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '2', 'a': '1'}","{'h': '1.58418', 'a': '1.49634'}",2021-08-21 13:30:00,"{'w': '0.3877', 'd': '0.2803', 'l': '0.332'}",2021,Bundesliga
17530,True,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '0', 'a': '0'}","{'h': '1.3297', 'a': '0.16593'}",2021-08-21 13:30:00,"{'w': '0.6943', 'd': '0.2611', 'l': '0.0446'}",2021,Bundesliga
17531,True,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '4', 'a': '0'}","{'h': '1.94592', 'a': '1.66054'}",2021-08-21 16:30:00,"{'w': '0.4285', 'd': '0.2744', 'l': '0.2971'}",2021,Bundesliga
17532,True,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'h': '2', 'a': '2'}","{'h': '0.967015', 'a': '2.35122'}",2021-08-22 13:30:00,"{'w': '0.085', 'd': '0.1699', 'l': '0.7451'}",2021,Bundesliga
