id,isResult,h,a,goals,xG,datetime,forecast,season,league
10337,True,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '3', 'a': '1'}","{'h': '3.08883', 'a': '0.697274'}",2018-08-24 21:30:00,"{'w': '0.9052', 'd': '0.0745', 'l': '0.0203'}",2018,Bundesliga
10338,True,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'h': '2', 'a': '1'}","{'h': '1.31029', 'a': '1.86154'}",2018-08-25 16:30:00,"{'w': '0.1996', 'd': '0.2822', 'l': '0.5182'}",2018,Bundesliga
10339,True,"{'id': '233', 'title': 'Fortuna Duesseldorf', 'short_title': 'FOR'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '1', 'a': '2'}","{'h': '1.32783', 'a': '0.755029'}",2018-08-25 16:30:00,"{'w': '0.5292', 'd': '0.2869', 'l': '0.1839'}",2018,Bundesliga
10340,True,"{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'id': '234', 'title': 'Nuernberg', 'short_title': 'NUE'}","{'h': '1', 'a': '0'}","{'h': '1.03309', 'a': '1.34412'}",2018-08-25 16:30:00,"{'w': '0.2221', 'd': '0.3535', 'l': '0.4244'}",2018,Bundesliga
10341,True,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '128', 'title': 'Hannover 96', 'short_title': 'HAN'}","{'h': '1', 'a': '1'}","{'h': '1.91197', 'a': '0.840127'}",2018-08-25 16:30:00,"{'w': '0.6637', 'd': '0.2102', 'l': '0.1261'}",2018,Bundesliga
10342,True,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '0', 'a': '2'}","{'h': '1.46674', 'a': '0.81415'}",2018-08-25 16:30:00,"{'w': '0.5345', 'd': '0.2758', 'l': '0.1897'}",2018,Bundesliga
10343,True,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '2', 'a': '0'}","{'h': '3.34179', 'a': '1.05775'}",2018-08-25 19:30:00,"{'w': '0.8723', 'd': '0.0867', 'l': '0.041'}",2018,Bundesliga
10344,True,"{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '1', 'a': '0'}","{'h': '1.28621', 'a': '1.07847'}",2018-08-26 16:30:00,"{'w': '0.4095', 'd': '0.3072', 'l': '0.2833'}",2018,Bundesliga
10345,True,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '4', 'a': '1'}","{'h': '1.96153', 'a': '1.46268'}",2018-08-26 19:00:00,"{'w': '0.4946', 'd': '0.2595', 'l': '0.2459'}",2018,Bundesliga
10346,True,"{'id': '128', 'title': 'Hannover 96', 'short_title': 'HAN'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '0', 'a': '0'}","{'h': '0.462033', 'a': '0.842511'}",2018-08-31 21:30:00,"{'w': '0.1758', 'd': '0.3841', 'l': '0.4401'}",2018,Bundesliga
10347,True,"{'id': '234', 'title': 'Nuernberg', 'short_title': 'NUE'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '1', 'a': '1'}","{'h': '1.56238', 'a': '0.367667'}",2018-09-01 13:30:00,"{'w': '0.7305', 'd': '0.2064', 'l': '0.0631'}",2018,Bundesliga
10348,True,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '1', 'a': '2'}","{'h': '1.25306', 'a': '1.34271'}",2018-09-01 13:30:00,"{'w': '0.3259', 'd': '0.314', 'l': '0.3601'}",2018,Bundesliga
