team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Sevilla,138,2018,La_liga,,,,,,,,,,,,,
Real Sociedad,140,2018,La_liga,,,,,,,,,,,,,
Espanyol,141,2018,La_liga,,,,,,,,,,,,,
Getafe,142,2018,La_liga,,,,,,,,,,,,,
Atletico Madrid,143,2018,La_liga,,,,,,,,,,,,,
Rayo Vallecano,145,2018,La_liga,,,,,,,,,,,,,
Valencia,146,2018,La_liga,,,,,,,,,,,,,
Athletic Club,147,2018,La_liga,,,,,,,,,,,,,
Barcelona,148,2018,La_liga,,,,,,,,,,,,,
Real Madrid,150,2018,La_liga,,,,,,,,,,,,,
Levante,151,2018,La_liga,,,,,,,,,,,,,
Celta Vigo,152,2018,La_liga,,,,,,,,,,,,,
Real Betis,153,2018,La_liga,,,,,,,,,,,,,
Villarreal,154,2018,La_liga,,,,,,,,,,,,,
Eibar,156,2018,La_liga,,,,,,,,,,,,,
Alaves,158,2018,La_liga,,,,,,,,,,,,,
Leganes,159,2018,La_liga,,,,,,,,,,,,,
Girona,223,2018,La_liga,,,,,,,,,,,,,
Real Valladolid,231,2018,La_liga,,,,,,,,,,,,,
SD Huesca,232,2018,La_liga,,,,,,,,,,,,,
