team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Lille,160,2014,Ligue_1,,,,,,,,,,,,,
Paris Saint Germain,161,2014,Ligue_1,,,,,,,,,,,,,
SC Bastia,162,2014,Ligue_1,,,,,,,,,,,,,
Rennes,163,2014,Ligue_1,,,,,,,,,,,,,
Marseille,164,2014,Ligue_1,,,,,,,,,,,,,
Caen,165,2014,Ligue_1,,,,,,,,,,,,,
Montpellier,166,2014,Ligue_1,,,,,,,,,,,,,
Nantes,168,2014,Ligue_1,,,,,,,,,,,,,
Guingamp,169,2014,Ligue_1,,,,,,,,,,,,,
Nice,170,2014,Ligue_1,,,,,,,,,,,,,
Monaco,171,2014,Ligue_1,,,,,,,,,,,,,
Toulouse,174,2014,Ligue_1,,,,,,,,,,,,,
Saint-Etienne,175,2014,Ligue_1,,,,,,,,,,,,,
Bordeaux,176,2014,Ligue_1,,,,,,,,,,,,,
Reims,177,2014,Ligue_1,,,,,,,,,,,,,
Lyon,178,2014,Ligue_1,,,,,,,,,,,,,
Lorient,179,2014,Ligue_1,,,,,,,,,,,,,
Metz,180,2014,Ligue_1,,,,,,,,,,,,,
Evian Thonon Gaillard,209,2014,Ligue_1,,,,,,,,,,,,,
Lens,210,2014,Ligue_1,,,,,,,,,,,,,
