id,isResult,h,a,goals,xG,datetime,forecast,season,league
6158,True,"{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'h': '3', 'a': '1'}","{'h': '1.75071', 'a': '0.445841'}",2014-09-20 19:00:00,"{'w': '0.7474', 'd': '0.1863', 'l': '0.0663'}",2014,Ligue_1
6159,True,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '2', 'a': '1'}","{'h': '1.9684', 'a': '0.0802175'}",2014-09-20 19:00:00,"{'w': '0.8728', 'd': '0.1195', 'l': '0.0077'}",2014,Ligue_1
6160,True,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'h': '3', 'a': '3'}","{'h': '3.64275', 'a': '0.664786'}",2014-09-20 19:00:00,"{'w': '0.9468', 'd': '0.04', 'l': '0.0132'}",2014,Ligue_1
6161,True,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '0', 'a': '0'}","{'h': '0.816887', 'a': '0.349895'}",2014-09-21 13:00:00,"{'w': '0.4591', 'd': '0.4025', 'l': '0.1384'}",2014,Ligue_1
6162,True,"{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'h': '0', 'a': '1'}","{'h': '0.880858', 'a': '1.03801'}",2014-09-21 16:00:00,"{'w': '0.2944', 'd': '0.3407', 'l': '0.3649'}",2014,Ligue_1
6163,True,"{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '1', 'a': '0'}","{'h': '1.44179', 'a': '0.0833917'}",2014-09-21 16:00:00,"{'w': '0.8141', 'd': '0.1732', 'l': '0.0127'}",2014,Ligue_1
6164,True,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '1', 'a': '1'}","{'h': '1.71499', 'a': '0.538028'}",2014-09-21 20:00:00,"{'w': '0.7249', 'd': '0.1943', 'l': '0.0808'}",2014,Ligue_1
6165,True,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '0', 'a': '5'}","{'h': '0.383029', 'a': '3.62665'}",2014-09-23 18:00:00,"{'w': '0.004', 'd': '0.0257', 'l': '0.9703'}",2014,Ligue_1
6166,True,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '0', 'a': '3'}","{'h': '0.642791', 'a': '0.479571'}",2014-09-23 20:00:00,"{'w': '0.339', 'd': '0.4346', 'l': '0.2264'}",2014,Ligue_1
6167,True,"{'id': '209', 'title': 'Evian Thonon Gaillard', 'short_title': 'EVI'}","{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'h': '2', 'a': '1'}","{'h': '0.96835', 'a': '0.860457'}",2014-09-24 18:00:00,"{'w': '0.3588', 'd': '0.3326', 'l': '0.3086'}",2014,Ligue_1
6168,True,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'h': '0', 'a': '1'}","{'h': '0.74288', 'a': '0.329026'}",2014-09-24 18:00:00,"{'w': '0.4272', 'd': '0.4247', 'l': '0.1481'}",2014,Ligue_1
6169,True,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'h': '4', 'a': '0'}","{'h': '2.15635', 'a': '0.450279'}",2014-09-24 18:00:00,"{'w': '0.8126', 'd': '0.1418', 'l': '0.0456'}",2014,Ligue_1
6170,True,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '0', 'a': '1'}","{'h': '0.381379', 'a': '0.821933'}",2014-09-24 18:00:00,"{'w': '0.1561', 'd': '0.3995', 'l': '0.4444'}",2014,Ligue_1
6171,True,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '1', 'a': '0'}","{'h': '0.86697', 'a': '0.220894'}",2014-09-24 18:00:00,"{'w': '0.5394', 'd': '0.3803', 'l': '0.0803'}",2014,Ligue_1
6172,True,"{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '0', 'a': '0'}","{'h': '0.328904', 'a': '1.6641'}",2014-09-24 18:00:00,"{'w': '0.0398', 'd': '0.1695', 'l': '0.7907'}",2014,Ligue_1
6173,True,"{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '0', 'a': '2'}","{'h': '0.943355', 'a': '2.14743'}",2014-09-24 20:00:00,"{'w': '0.1251', 'd': '0.2038', 'l': '0.6711'}",2014,Ligue_1
6174,True,"{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '1', 'a': '1'}","{'h': '2.12624', 'a': '1.03818'}",2014-09-25 20:00:00,"{'w': '0.6511', 'd': '0.223', 'l': '0.1259'}",2014,Ligue_1
6175,True,"{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '0', 'a': '1'}","{'h': '0.582276', 'a': '0.392234'}",2014-09-27 13:00:00,"{'w': '0.3442', 'd': '0.4589', 'l': '0.1969'}",2014,Ligue_1
6176,True,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '1', 'a': '1'}","{'h': '0.661996', 'a': '0.504659'}",2014-09-27 16:00:00,"{'w': '0.3444', 'd': '0.4223', 'l': '0.2333'}",2014,Ligue_1
6177,True,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '2', 'a': '1'}","{'h': '0.958', 'a': '0.440641'}",2014-09-27 19:00:00,"{'w': '0.4947', 'd': '0.3531', 'l': '0.1522'}",2014,Ligue_1
6178,True,"{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '3', 'a': '0'}","{'h': '1.57463', 'a': '0.119753'}",2014-09-27 19:00:00,"{'w': '0.787', 'd': '0.1916', 'l': '0.0214'}",2014,Ligue_1
6179,True,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'h': '1', 'a': '0'}","{'h': '0.668915', 'a': '0.464606'}",2014-09-27 19:00:00,"{'w': '0.3479', 'd': '0.4376', 'l': '0.2145'}",2014,Ligue_1
6180,True,"{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'id': '209', 'title': 'Evian Thonon Gaillard', 'short_title': 'EVI'}","{'h': '0', 'a': '2'}","{'h': '0.791519', 'a': '0.834365'}",2014-09-27 19:00:00,"{'w': '0.2917', 'd': '0.3544', 'l': '0.3539'}",2014,Ligue_1
6181,True,"{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '2', 'a': '1'}","{'h': '1.73816', 'a': '2.28274'}",2014-09-28 13:00:00,"{'w': '0.2092', 'd': '0.2705', 'l': '0.5203'}",2014,Ligue_1
6182,True,"{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'h': '0', 'a': '0'}","{'h': '0.518773', 'a': '0.375391'}",2014-09-28 16:00:00,"{'w': '0.307', 'd': '0.4916', 'l': '0.2014'}",2014,Ligue_1
6183,True,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '1', 'a': '1'}","{'h': '1.90868', 'a': '0.693743'}",2014-09-28 16:00:00,"{'w': '0.7239', 'd': '0.1898', 'l': '0.0863'}",2014,Ligue_1
6184,True,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'h': '2', 'a': '1'}","{'h': '1.12373', 'a': '0.348437'}",2014-09-28 20:00:00,"{'w': '0.5787', 'd': '0.3145', 'l': '0.1068'}",2014,Ligue_1
6114,True,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '1', 'a': '0'}","{'h': '0.457543', 'a': '0.617068'}",2014-10-03 19:30:00,"{'w': '0.2274', 'd': '0.4402', 'l': '0.3324'}",2014,Ligue_1
6115,True,"{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '1', 'a': '2'}","{'h': '0.496129', 'a': '2.73148'}",2014-10-04 16:00:00,"{'w': '0.0282', 'd': '0.0969', 'l': '0.8749'}",2014,Ligue_1
6116,True,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '1', 'a': '1'}","{'h': '1.13335', 'a': '0.520645'}",2014-10-04 19:00:00,"{'w': '0.5781', 'd': '0.3143', 'l': '0.1076'}",2014,Ligue_1
6117,True,"{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'h': '0', 'a': '2'}","{'h': '0.307003', 'a': '0.692365'}",2014-10-04 19:00:00,"{'w': '0.1403', 'd': '0.4424', 'l': '0.4173'}",2014,Ligue_1
6118,True,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'h': '2', 'a': '0'}","{'h': '2.26447', 'a': '0.191323'}",2014-10-04 19:00:00,"{'w': '0.9238', 'd': '0.0672', 'l': '0.009'}",2014,Ligue_1
