group_type,position,games,goals,shots,time,xG,assists,xA,key_passes,season,team,yellow,red,npg,npxG,xGChain,xGBuildup,player_id,player_name
season,Sub,11,0,2,663,0.03520849905908108,0,0.07916990108788013,4,2021,Everton,2,0,0,0.03520849905908108,1.104188802652061,1.054023782722652,876,Fabian Delph
season,Sub,8,0,1,249,0.014957999810576439,0,0.05444910004734993,2,2020,Everton,1,0,0,0.014957999810576439,1.060617508366704,1.0171574968844652,876,Fabian Delph
season,DMC,16,0,3,1194,0.04571069963276386,0,0.4789173975586891,7,2019,Everton,3,1,0,0.04571069963276386,5.085361123085022,4.884203866124153,876,Fabian Delph
season,DL,11,0,4,723,0.0698102992027998,1,0.38566290587186813,3,2018,Manchester City,1,1,0,0.0698102992027998,4.9016905054450035,4.826938599348068,876,Fabian Delph
season,DL,22,1,10,1747,0.19954200088977814,2,1.313318818807602,11,2017,Manchester City,2,0,1,0.19954200088977814,14.307673294097185,13.989248339086771,876,Fabian Delph
season,Sub,7,1,6,216,0.22627899423241615,0,0.36103289760649204,2,2016,Manchester City,1,0,1,0.22627899423241615,1.5493250042200089,1.3133180141448975,876,Fabian Delph
season,MC,17,2,13,753,0.30059099942445755,0,0.42607941292226315,2,2015,Manchester City,0,0,2,0.30059099942445755,2.4887941433116794,1.8802404375746846,876,Fabian Delph
season,DMC,28,0,42,2435,1.542956287972629,3,2.41554019972682,36,2014,Aston Villa,1,1,0,1.542956287972629,7.702498070895672,6.121814403682947,876,Fabian Delph
