group_type,position,games,goals,shots,time,xG,assists,xA,key_passes,season,team,yellow,red,npg,npxG,xGChain,xGBuildup,player_id,player_name
season,Sub,15,0,3,956,0.15451990067958832,0,0.4215389918535948,4,2019,Bournemouth,3,1,0,0.15451990067958832,1.762462705373764,1.6790957059711218,456,Simon Francis
season,Sub,17,0,3,1220,0.12115650065243244,2,0.604635301977396,10,2018,Bournemouth,1,0,0,0.12115650065243244,4.562634974718094,4.3394066989421844,456,Simon Francis
season,DR,32,0,13,2706,0.40737280528992414,1,1.6293544946238399,27,2017,Bournemouth,8,1,0,0.40737280528992414,5.498504349961877,4.483427317813039,456,Simon Francis
season,DC,34,0,7,2945,0.1653731008991599,1,1.5683694994077086,19,2016,Bournemouth,4,1,0,0.1653731008991599,7.803949223831296,7.317913267761469,456,Simon Francis
season,DR,38,0,7,3388,0.2090822048485279,4,2.3881555441766977,35,2015,Bournemouth,5,1,0,0.2090822048485279,6.946317879483104,6.096748158335686,456,Simon Francis
